问题,选项1,选项2,选项3,选项4,答案
以下哪句话中“广角镜”的意思(或用法)与其他句子不同。,取景时别具匠心地使用了电传和广角镜头。,为什么你反对用广角镜头？,这部百科全书是开阔眼界、增长知识的广角镜。,我无需调整焦距，因为我用的是广角镜头。,C
以下哪句话中“残毒”的意思(或用法)与其他句子不同。,暴君对他的臣子十分残毒,大将军因为行事残毒而遭受大臣弹劾,苹果上的残毒让他进了医院,这个国家的军队以残毒的行为闻名,C
以下哪句话中“转悠”的意思(或用法)与其他句子不同。,我就在外面转悠一会儿我就回来。,每天我出去转悠一下。,不要出去瞎转悠。,眼珠子转悠。,D
以下哪句话中“光杆儿”的意思(或用法)与其他句子不同。,父母一死，只剩他光杆儿一人。,你要是再晚一点儿出来，估计就快成了光杆儿司令了。,还是我好，没爹没娘，光杆儿一个，死了就死了，无牵无挂。,我看着这些还是光杆儿的树，还有泛黄的草儿。,D
以下哪句话中“韧性”的意思(或用法)与其他句子不同。,这根尺子韧性不好。,工作任务越艰巨越需要韧性。,树枝韧性不好，要当心。,筷子韧性不够，不好夹菜。,B
以下哪句话中“故意”的意思(或用法)与其他句子不同。,怕同学们接受不了，老师故意把话说得很委婉。,老师故意用粉笔敲敲黑板，以引起大家的注意。,守门员故意拖延时间，受到裁判的黄牌警告。,十?亦不醉，感子故意长。,D
以下哪句话中“过不去”的意思(或用法)与其他句子不同。,他总是挑我的毛病，这是存心与我过不去。,他处处怀疑别人在跟他过不去，真是以小人之心，度君子之腹。,自从上次吵架后，她一直跟我过不去，也不知她安的什么心。,大桥正在修理，这里过不去。,D
以下哪句话中“油水”的意思(或用法)与其他句子不同。,油水分离器可处理油污水。,捞油水。,油水不相容。,这饭菜的油水太多了。,B
以下哪句话中“得手”的意思(或用法)与其他句子不同。,这个小偷在一度得手后，食髓知味，再度光临，终于被逮个正着。,这起抢案，警方怀疑有内贼接应，才使歹徒轻易得手。,小偷得手后，还堂而皇之地从大门口走了出去。,工作进行得很得手。,D
以下哪句话中“抄手”的意思(或用法)与其他句子不同。,我喜欢吃麻辣抄手。,抄手真是美味极了！,抄手向前咨大使，这回不敢恼儿郎。,我今天晚上去吃抄手。,C
以下哪句话中“应变”的意思(或用法)与其他句子不同。,在面对突然发生的紧急情况时，我们需要灵活运用应变能力来做出正确的决策。,这个金属材料在受到高温作用后发生了应变，导致其形状发生了相对改变。,面对突如其来的挑战，我们团队展现出了出色的应变能力，顺利完成了任务。,这个项目遇到了一些意外情况，但我们通过及时的应变措施成功解决了问题。,B
以下哪句话中“盈盈”的意思(或用法)与其他句子不同。,盈盈一水间。,她在宫殿上盈盈起舞。,春水盈盈。,荷叶上露珠盈盈。,B
以下哪句话中“自流”的意思(或用法)与其他句子不同。,自流水。,自流井。,自流灌溉。,晚自习不许自流。,D
以下哪句话中“撞车”的意思(或用法)与其他句子不同。,撞车事故。,小心开车，以防万一撞车。,安排不周，两个会撞车了。,前面发生了撞车，不要去看。,C
以下哪句话中“四方”的意思(或用法)与其他句子不同。,他有个四方形的盒子，里面是他珍贵的东西。,神鹰飞翔，志在四方；凤凰纹完，好运当前。,好男儿志在四方，整天守在家里有什么出息？,青年人志在四方，何必一定要留在大城市才行呢？,A
以下哪句话中“挂彩”的意思(或用法)与其他句子不同。,两人回到家，只见整个风府披红挂彩，比起昨天来，又多了一分喜庆。,他两条腿都挂彩了，人也被如雨的弹片炸成重伤。,见得人都说，那匾披红挂彩，镌了四个斗大金字——德为福基。,节日到了，商店里披红挂彩，装扮的十分鲜艳夺目。,B
以下哪句话中“下场”的意思(或用法)与其他句子不同。,欺凌别人绝没有好下场。,下场比赛很关键。,解放前张先生到海外打工，梦想衣锦还乡，结果却落了个暴尸街头的下场。,敌人对我军阵地进行偷袭，正好中了我军的埋伏，结果落了个全军覆没的下场。,B
以下哪句话中“分号”的意思(或用法)与其他句子不同。,我们店只此一家，没有分号,他用分号将句子中的独立子句分隔开来，以增加句子的清晰度。,在写作中正确使用分号可以表达更复杂的句子结构和逻辑关系。,这篇文章的标点符号使用得很准确，尤其是分号的运用使得句子的含义更加明确。,A
以下哪句话中“贵贱”的意思(或用法)与其他句子不同。,人生不论贵贱，一日有一日合作之事，若饱食暖衣，无所事事，哪得有结果。,我劝了他半天，贵贱不听。,贵贱之分，在于行之美恶。,百体皆血肉之躯，五官有贵贱之别。,B
以下哪句话中“切面”的意思(或用法)与其他句子不同。,他晚上自己一个人在家切面吃。,睾丸纵切面，示生精小管和迂回蟠曲的附睾。,肝脏的切面显示了肝脏腺瘤。,肿瘤呈紫红色或紫蓝色，质多柔软，界清，切面呈网状。,A
以下哪句话中“子息”的意思(或用法)与其他句子不同。,他的子息都很孝顺。,他有三个子息。,一个月子息多少。,他五十岁了，现在任无子息。,C
以下哪句话中“海市蜃楼”的意思(或用法)与其他句子不同。,海市蜃楼是世界上的一大奇观。,蓬莱是中国著名的旅游城市，这里因经常出现海市蜃楼奇观而被誉为“人间仙境”。,富贵利禄对他而言，有如海市蜃楼，转眼成空。,海市蜃楼是罕见的奇特景象。,C
以下哪句话中“巨婴”的意思(或用法)与其他句子不同。,这个团队里有一个巨婴，总是喜欢抱怨和指责别人。,那个成年人行为举止总是像个孩子，真是个巨婴。,这个婴儿体形巨大，是个巨婴,他经常把别人的责任推卸掉，真是一个巨婴。,C
以下哪句话中“热浪”的意思(或用法)与其他句子不同。,沙漠上阵阵的热浪扑面而来。,太阳挂在空中，热浪一波波袭来。,商品生产的热浪原来越高。,这阵热浪已使人感到疲惫。,C
以下哪句话中“皇粮”的意思(或用法)与其他句子不同。,清王朝覆灭后，八旗贵族断了皇粮，不少只会吃喝嫖赌、百无一能的纨绔子弟沦为乞丐。,人们称政府官员是吃皇粮的工作人员。,现在吃皇粮的都是国家工作人员。,在事业编制，可以吃皇粮。,A
以下哪句话中“现世”的意思(或用法)与其他句子不同。,这样的“老太婆”还出来念什么书，活现世！轻薄的同学的口角边，往往会漏出了这样的嘲笑。,因果论或现世报论者提出：种何因，结何果。因果报应，如影随形。,乃至大小喜怒、毁谤、打骂、是非，见面相嫌，皆是前因所结旧冤，现世要还。,他们认为，如果人的福祸同现世的善恶行为无关，这就会使人善恶不分。,A
以下哪句话中“呱唧”的意思(或用法)与其他句子不同。,现在有请项风，这次获得村内选冠军，来讲话，大家呱唧呱唧！,这两个人身子一僵，呱唧栽倒在地上，哆嗦两下便再也不能动了。,他便这样漫无目标地活着，古费拉克却说他是傻里呱唧地活着。,这才一眨巴眼儿的功夫，韩彪呱唧呱唧摔了一地的蛤蟆。,A
以下哪句话中“正职”的意思(或用法)与其他句子不同。,他没有正职。,这些干部有担任正职的，也有担任副职的。,他的正职是教师。,你的正职是什么。,B
以下哪句话中“雨水”的意思(或用法)与其他句子不同。,雨水调和。,雨水是二十四节气之一。,雨水充足。,雨水从天上洒落下来。,B
以下哪句话中“全家福”的意思(或用法)与其他句子不同。,每天我们去拍全家福。,今天，妈妈照着菜单做了一大桌全家福。,墙上挂着一张全家福。,这张全家福拍的很好看。,B
以下哪句话中“孩提”的意思(或用法)与其他句子不同。,他还是一个孩提。,在孩提时期，我不能想象还有什么需要比父亲的保护更强烈。,我多么想跨出这禁地，奔向那回家之路。是多么想回到孩提时代，无忧无虑地生活，将那些令人讨厌的烦恼统统抛之脑后。,年近而立，孩提时代积攒的或多或少的好印象随之趋淡。,A
以下哪句话中“插口”的意思(或用法)与其他句子不同。,插口是一种方便的电源接口，广泛应用于中国大陆的家庭和办公场所。,中国政府在插口标准化方面的努力，将为人民提供更好的生活品质和便利。,中国政府积极推动插口标准化工作，以确保电器设备的安全性和互通性。,插口也具有动插嘴的意思,D
以下哪句话中“中道”的意思(或用法)与其他句子不同。,中道即中庸之道。,中道弃娟。,中道而返。,中道而废。,A
以下哪句话中“emo”的意思(或用法)与其他句子不同。,“emo”是一种与朋克相似的摇滚乐，最初从HardcorePunk(硬核朋克)中派生出来，但包含更为复杂的改编曲，歌词更多触及情感主题。,以后不在朋友圈装emo了，其实我这个长相，根本没有那么多感情问题,明天开学要分班，狠狠emo了。,我emo了，有一瞬间我想过死亡。,A
以下哪句话中“黑白”的意思(或用法)与其他句子不同。,老师处理同学的矛盾很有原则，从不颠倒黑白。,你要保持清醒的头脑，不能黑白颠倒，是非不分。,他总是黑白混淆，颠倒是非。,横盘上黑白分明，双方胜负已分。,D
以下哪句话中“约略”的意思(或用法)与其他句子不同。,我约略知道他的一些事。,我约略知道一些。,他的近况我约略知道一些。,约略听得见窗外的雨点声。,D
以下哪句话中“照直”的意思(或用法)与其他句子不同。,有话就照直说，不要吞吞吐吐。,照直往前走，不要回头。,照直走。,照直往东就到了。,A
以下哪句话中“关系”的意思(或用法)与其他句子不同。,他俩虽然闹矛盾，但还没有到关系破裂的程度。,新社会与旧社会有千丝万缕的关系。,由于时间关系，我不往下讲了。,李华与朱茵断绝了朋友关系。,C
以下哪句话中“官人”的意思(或用法)与其他句子不同。,周代选士制、汉代察举制、魏晋九品官人制是考试制度的起源阶段。,内外官人被诸道按察使及御史所摘伏，咸宜洗涤；选日依次叙用。,蔡大官人，我这姑娘确实是这大名府的数一数二的美人。,官人，早日回家探望病床上的母亲。,D
以下哪句话中“含糊”的意思(或用法)与其他句子不同。,这活儿干得真不含糊。,说明白一点吧，不要含糊其辞。,他回答得很含糊，令人费解。,对于老师的提问，小东回答得很含糊。,A
以下哪句话中“烧心”的意思(或用法)与其他句子不同。,白菜烧心了，真可惜。,患有烧心，胃酸过多的毛病。,常有烧心感，真的很难受。,辣椒吃多了容易烧心。,A
以下哪句话中“团团”的意思(或用法)与其他句子不同。,团团的小脸儿。,团团围住。,他骗得大家团团转。,大家都围着他团团转。,A
以下哪句话中“横流”的意思(或用法)与其他句子不同。,在这个物欲横流的世界，在这个人心不古的社会，我们只能随波逐流。,在黑暗的旧社会里，人欲横流，道德沦丧，社会风气日趋败坏。,老人想起了多年未见的儿子，不禁涕泪横流。,刘兄，树大招风，如今人欲横流，你还是避一下为好。,C
以下哪句话中“规整”的意思(或用法)与其他句子不同。,规整衣物。,这里有一座古老的教堂。建筑古雅，不很规整，是有山墙的那种房子。,同学们的作业都写得很规整。,阅览室里的图书、报刊总是摆得规规整整的。,A
以下哪句话中“如意”的意思(或用法)与其他句子不同。,没有一件事让人如意的。,这玉如意一看就价值不菲。,这世间的事哪能事事如意。,今天实在运气不好，做什么都不如意。,B
以下哪句话中“买单”的意思(或用法)与其他句子不同。,他深陷债务困境，无法买单还债，陷入了经济困境。,在商务会议结束后，公司老板买单请客，表示对员工的慰劳和认可,他们在餐厅享用完美食后，友好地争着买单，表达彼此的感激之情,我们一起吃饭，轮到我买单了，我拿出钱包付了账。,A
以下哪句话中“海口”的意思(或用法)与其他句子不同。,海口是中国海南省的省会城市，拥有美丽的海滩和独特的热带风情。,海口有许多著名的旅游景点，例如骑楼老街、五公祠和大小洞天，吸引了大量游客的到访。,我计划下个月去海口度假，享受阳光、沙滩和海洋的美妙。,他对着我们夸下海口说今天一定办成,D
以下哪句话中“音儿”的意思(或用法)与其他句子不同。,今天的音儿怎么和昨天不一样了？,他记得连说话的音儿都变了。,他的音儿怎么了？,听话听音儿。,D
以下哪句话中“好处”的意思(或用法)与其他句子不同。,他肯定给了你不少好处！,有些干部千方百计地为自己捞取好处。,改革开放促进了经济发展，每个人都从中获得了好处。,最是一年春好处，?胜花柳满皇都。,D
以下哪句话中“有染”的意思(或用法)与其他句子不同。,他们婚外有染。,与上次的暴力事件有染。,与黑社会有染。,与黑暗势力有染。,A
以下哪句话中“杀气”的意思(或用法)与其他句子不同。,他们杀气腾腾地闯进屋来，翻箱倒柜，抢了值钱的东西，扬长而去。,看到这伙杀气腾腾的歹徒，他恨恨不已。,当你心情难过时不要拿别人杀气，否则会没人和你交朋友。,两位剑客互相对峙，目光如炬，全身散发出杀气。,C
以下哪句话中“画卷”的意思(或用法)与其他句子不同。,长篇小说《李自成》展示了明末农民起义的历史画卷,进了长江三峡，就好像走进了一幅连绵不断的山水画卷。,屡出诗章新管?，偶开画卷小山川。,畅游漓江，饱览桂林山水，犹如欣赏百里画卷。,C
以下哪句话中“换代”的意思(或用法)与其他句子不同。,历史上的改朝换代总伴随着血腥的战争。,各种皮凉鞋虽然款式新，换代快，但价格比较高。,空军的飞机在不断更新换代。,随着计算机的更新换代，它的功能越来越多了。,A
以下哪句话中“内因”的意思(或用法)与其他句子不同。,深入研究导致事情发生的内因，有助于使我们更全面地了解这件事情。,这件事情的内因值得我们深思。,唯物辩证法认为外因是变化的条件，内因是变化的根据，外因通过内因而起作用。,行人可不有私？不。有私，所以为内因也。,D
以下哪句话中“鼓动”的意思(或用法)与其他句子不同。,运动会上，文娱委员负责宣传鼓动工作。,在老师的鼓动下，我们打扫了操场。,经他鼓动，不少人都加入了篮球队。,小燕子鼓动着翅膀向远处飞去。,D
以下哪句话中“合拍”的意思(或用法)与其他句子不同。,这对舞蹈伴侣的舞技水平相当高，他们的舞姿流畅而协调，每一次演出都令人惊叹的合拍。,今天天气很好让我们合拍一张照片吧,在比赛中，这支球队展现出了出色的团队合作，他们的配合简直就是无懈可击的合拍。,这部电影的主角和配角在镜头前表现得非常默契，他们合拍得很完美。,B
以下哪句话中“华盖”的意思(或用法)与其他句子不同。,吉华盖；凶截路，破字，曲脚。,吉华盖；凶大败，平头，破字。,凶华盖，羊刃，退神，破字。,正五品，内阁，旧名华盖殿。,D
以下哪句话中“归结”的意思(或用法)与其他句子不同。,一切经济最后都归结为时间经济。,这件事儿总算有了一个归结。,把友谊归结为利益的人，为是把友谊中最宝贵的东西勾销了。,一切教育都归结为养成儿童的良好习惯。,B
以下哪句话中“阵痛”的意思(或用法)与其他句子不同。,阵痛之后便是安宁。,今天开始阵痛。,牙痛引起的阵痛。,宫缩引起阵痛。,A
以下哪句话中“热线”的意思(或用法)与其他句子不同。,这个工厂把红热线加到技术当中。,热线联系。,热线服务。,点播热线,A
以下哪句话中“对眼”的意思(或用法)与其他句子不同。,在对眼的检查中，医生发现了一些问题，并提供了相应的治疗建议。,几件衣服看着都不对眼,医生建议她要注意用眼卫生，以防止对眼产生过度疲劳。,她戴上眼镜后，终于可以清晰地对眼看字了。,B
以下哪句话中“转行”的意思(或用法)与其他句子不同。,甲乙戊庚，随时转行，不失常节。,他要转行做演员。,他转行餐饮业。,他转行服务业。,A
以下哪句话中“有毒”的意思(或用法)与其他句子不同。,你有毒吧，怎么你一来鸽子全都飞了。,你才来三天就把我电脑搞坏了，你有毒吧。,你来广东三次，三次都刚好下雨，你有毒吧。,君其无谓邾小，??有毒，而况国乎？,D
以下哪句话中“合并”的意思(或用法)与其他句子不同。,人欲天不违，何惧不合并。,两个学校合并之后，已不分畛域。,思想品德和社会两个学科合并成一个学科。,那两所学校已经合并一年多了。,A
以下哪句话中“过心”的意思(或用法)与其他句子不同。,咱俩是过心的朋友，有什么话不能说？,与过心的朋友总是无话不说。,我直话直说，你别过心。,一生中能遇到过心的人很幸运。,C
以下哪句话中“管界”的意思(或用法)与其他句子不同。,另外，介绍本文研究的基本思路、方法，以及管界研究的意义。,管界就是管辖地区的边界。,他说和建筑界，导演界，商业主管界的领头羊人物工作之后，他认识到他们有一个共同点。,在英语篇章分析中，不同的管领词所修饰或通领的管界的范围和位置不尽相同。,B
以下哪句话中“花里胡哨”的意思(或用法)与其他句子不同。,别听他花里胡哨的那一套。,她穿得花里胡哨的。,严禁花里胡哨，浮夸虚报，成绩是成绩，不足就是不足。,这个人做事花里胡哨的，不适合干财务工作。,B
以下哪句话中“不测”的意思(或用法)与其他句子不同。,他拿了一根大棒子以防不测。,其为物不贰，则其生物不测。,我担心他是不是有什么不测了。,我们必须筹措一笔储备基金以应不测。,B
以下哪句话中“嚷嚷”的意思(或用法)与其他句子不同。,这事嚷嚷出去，对谁都不好。,别嚷嚷，安静点。,再嚷嚷我就生气了。,别嚷嚷，人家还在休息。,A
以下哪句话中“呼唤”的意思(或用法)与其他句子不同。,清晨，草地里昆虫家族的成员们轻轻呼唤，互相应答。,我忽然想起来了，大哥往常就是这样呼唤羊群的。,早晨，妈妈轻轻地呼唤着我的名字，叫我起床。,这种事情呼唤下人去做就好了。,D
以下哪句话中“命题”的意思(或用法)与其他句子不同。,命题：二等分一直线。,对于任何应用程序，安全是一个困难但必要的命题。,我看四十四年来的作文命题，大部分都适合装疯卖傻。,办学特色是各高等学校的一个重要命题。,A
以下哪句话中“公判”的意思(或用法)与其他句子不同。,今天召开万人公判大会，判处罪恶滔天的，那个外号叫“南霸天”的人死刑，立即执行。,上级指示拿下白河据点后一起举行公判大会。,请求公判。,广东生产建设兵团四师团的一块空地上，举行了一次万人参加的公判大会。,C
以下哪句话中“海况”的意思(或用法)与其他句子不同。,掌握技能需要的经验在不同风速和海况，以及知识的帆船。,这种运送将高速进行，并将在各种海况和地形情况下将装备投放到海滩上。,海况表上记录着各种数据。,同一海况下，海面波动的时间过程和沿主波向的空间分布是明显不同的。,C
以下哪句话中“有意”的意思(或用法)与其他句子不同。,他是有意的，不是无心的。,他有意想要让我失败,他这是有意跟我作对。,小王对小杨有意，可一直没机会表白。,D
以下哪句话中“旋子”的意思(或用法)与其他句子不同。,伊正向海上看，只见几座山奔流过来，一面又在波浪堆里打旋子。,快拿旋子烫滚水，你且坐下。,蝙蝠见了火光惊飞起来，打了几个旋子，消失在黑暗中。,有一回我已经十多岁了，和几个孩子比赛打旋子，看谁旋得多。,B
以下哪句话中“中人”的意思(或用法)与其他句子不同。,她的方方面面都处于中人。,她的身材中人以上。,我有中人，可以为我作证。,她的相貌不及中人。,C
以下哪句话中“扫除”的意思(或用法)与其他句子不同。,今天我们来大扫除。,这块区域我们负责扫除。,室内室外要天天扫除。,国家致力于扫除文盲。,D
以下哪句话中“搬砖”的意思(或用法)与其他句子不同。,美好的假期结束了，收拾心情，努力搬砖。,穿了加绒的裤子和毛衣坐在办公室里感受到了踏实，努力搬砖中。,他在建筑工地上搬砖已经工作了五年。,人生没有四季，只有两季，努力就是旺季，不努力就是淡季！新的一天，继续搬砖。,C
以下哪句话中“永生”的意思(或用法)与其他句子不同。,永生难忘。,真善美是他永生的追求。,精神自由是我永生的追求。,未争取民族解放而牺牲的烈士们永生。,D
以下哪句话中“滋味”的意思(或用法)与其他句子不同。,挨饿的滋味不好受。,菜的滋味不错。,心里真不是滋味。,被骂的滋味怎么样。,B
以下哪句话中“红色”的意思(或用法)与其他句子不同。,红色根据地是我党最安全的地方。,妹妹这身红色的衣服在雪地里十分抢眼。,这条红色的手链是小霞送给我的友谊的纪念。,橙红色的太阳带着对天空的最后一丝倦恋，慢慢没入海中。,A
以下哪句话中“冠冕”的意思(或用法)与其他句子不同。,每次迟到，他总是会找些冠冕堂皇的理由。,这个讲题虽是冠冕堂皇，可是其论点和论据却只是皮相之谈。,谁都知道他在私底下做了哪些坏事，但表面上偏要说得冠冕堂皇。,古代帝王戴的帽子叫做冠冕。,D
以下哪句话中“糟蹋”的意思(或用法)与其他句子不同。,这阵大风糟蹋了不少果子。,她被糟蹋了。,小心剪裁，别把料子糟蹋了。,不要糟蹋了这么好的果子。,B
以下哪句话中“孤立”的意思(或用法)与其他句子不同。,江心有一个孤立的小岛。,他孤立无亲，危弱无辅。,一座孤立的桥墩。,孤立的建筑物。,B
以下哪句话中“入伙”的意思(或用法)与其他句子不同。,来信内容是劝俺入伙，并说如俺入了他们的“中性人联谊会”，宫中漂亮的男的女的由俺挑选,饭已经做好了，可以入伙吃饭了。,最近，你的几位老同学希望你能入伙，和他们共办一家软件公司。,新入伙的住户可到管业处办领登入名称和密码。,B
以下哪句话中“印子”的意思(或用法)与其他句子不同。,车轮印子。,这有野兽的脚印子。,这得给您打印子，利息几分？,地板上踩了好多印子。,C
以下哪句话中“秋景”的意思(或用法)与其他句子不同。,今年秋景不错。,今年秋景好于去年。,香山秋景。,秋景好了，农民也就开心了。,C
以下哪句话中“笨头笨脑”的意思(或用法)与其他句子不同。,皮鞋做得笨头笨脑的，我不喜欢。,这个人笨头笨脑真没意思。,老师总是说他笨头笨脑，弄得他越来越不自信了,他从不和笨头笨脑的人打交道。,A
以下哪句话中“荒废”的意思(或用法)与其他句子不同。,他小时候由于贪玩而把学业荒废了，现在后悔莫及。,老师训诫我们千万不要荒废学业。,村里没有一亩荒废的土地。,因为在外打工挣钱，他的学业已荒废了,C
以下哪句话中“甩锅”的意思(或用法)与其他句子不同。,印度小哥炒菜时表演甩锅神技，观众看的是目瞪口呆,萌娃痴迷甩锅颠勺，姿势动作十分专业。,美国一些政客为了选举，将党派利益置于国家利益之上，将抗疫问题政治化，一门心思对外“甩锅”推责,5岁男孩凭花样“甩锅”走红网络，熟练颠勺的样子像极了大厨。,C
以下哪句话中“科考”的意思(或用法)与其他句子不同。,“学而优则仕”，在科举时代，是指知识分子在科考中成绩卓异，才能求得一宫半职。,科考船已经准备就绪，随时可以出发进行海底地质的科考工作。,他是一名经验丰富的科考人员，参与过多次海洋科考任务。,这个科考团队将前往南极进行一次重要的科学考察。,A
以下哪句话中“关照”的意思(或用法)与其他句子不同。,请你关照司机一声，叫他在会场门口等我。,我走后，小丽就请你多多关照。,洽谈中请您多多关照。,把这点东西送给您，聊表寸心，感谢多年来对我的关照。,A
以下哪句话中“左翼”的意思(或用法)与其他句子不同。,左翼先前进。,左翼分子。,左翼听令匍匐前进。,让左翼去突击敌人。,B
以下哪句话中“功力”的意思(或用法)与其他句子不同。,功力未见于国者，则不可授以重禄。,这两位名家的作品功力悉敌，各有所长。,从这幅字可以看出爷爷在书法上的深厚功力。,这个故事不仅内容吸引人，尤其说书者的功力深厚，使我没等听完，就忍不住拍案叫绝。,A
以下哪句话中“驼峰”的意思(或用法)与其他句子不同。,动车要到驼峰了。,骆驼的驼峰储藏了大量的脂肪。,骆驼背上突起的地方叫驼峰。,骆驼的驼峰可供身体消耗。,A
以下哪句话中“环节”的意思(或用法)与其他句子不同。,禾虫在动物学上属于环节动物多毛类。,这是钻研教材、语文备课重要的环节。,否定是事物发展的一个环节。,这两个环节相辅相成，缺一不可。,A
以下哪句话中“原来”的意思(或用法)与其他句子不同。,我还疑惑怎么给我打招呼呢，原来是我的高中同学。,我说在，怎么这么冷，原来是下雪了。,现在的日子比原来好多了。,原来是你。,C
以下哪句话中“撤回”的意思(或用法)与其他句子不同。,即可商令各国将在中国所设之邮局撤回。,他撤回刚刚说的话。,太祖从之，命先锋李继勋屯兵上党；又遣人撤回何继筠等。,天启二年九月(二十九日)壬戌，汪崇孝大言不惭，御众无法。该抚(袁可立)称盐院已将本弁撤回。,B
以下哪句话中“固定”的意思(或用法)与其他句子不同。,把聘任制固定下来。,我们上课一直没有固定的教室，今天在这儿，明天在那儿。,他没有固定工作，全靠零敲碎打地帮人干活挣点钱养活母亲。,如今兄弟四海为家，并无固定住所。,A
以下哪句话中“软绵绵”的意思(或用法)与其他句子不同。,病虽好了，身子还是软绵绵的。,妈妈织的围巾软绵绵的。,鞋底软绵绵的，穿起来特别舒服。,她的脸软绵绵的。,A
以下哪句话中“安心”的意思(或用法)与其他句子不同。,他这是什么安心,这个人安心叵测,小心他别有安心,你就安心养胎吧,D
以下哪句话中“什件儿”的意思(或用法)与其他句子不同。,我喜欢吃什件儿。,抄什件儿。,黄铜什件儿。,什件儿味道怎么样？,C
以下哪句话中“主干”的意思(或用法)与其他句子不同。,主干教师。,主干队伍。,植物主干。,他是我们队伍中的主干。,C
以下哪句话中“病害”的意思(或用法)与其他句子不同。,这种病害已经感染了整个农田。,这个花园里的花卉受到了真菌病害的影响。,这些病人被病害所折磨。,这些植物由于受到病害的侵袭而枯萎。,C
以下哪句话中“鬼脸”的意思(或用法)与其他句子不同。,对烦恼做个鬼脸，把它吓跑；把忧愁绑在靶心，甩手飞镖。,年轻的时候，我们常常冲着镜子做鬼脸。,总会仙倡，戏豹舞熊。白虎鼓瑟，苍龙吹笙。注曰：皆为假头也。假作其形，即今鬼脸儿。,爸爸连赢三局，他可神气了，给我扮了个“哭”的鬼脸。,C
以下哪句话中“刮鼻子”的意思(或用法)与其他句子不同。,第一个游戏名叫“破冰行动”，可是，抢答、刮鼻子、自我介绍、介绍邻座这样的举动，让这些原本十分内向的孩子一时无法适从。,这个大哥棋瘾大，臭棋篓子，输了，就老老实实让大家刮鼻子，从此就没人怕他了。,他让连长刮鼻子了。,她说每人摸13张，我说好，那也得有个奖惩分明，我提议刮鼻子。,C
以下哪句话中“摆平”的意思(或用法)与其他句子不同。,谢谢你替我摆平这次困难,他轻而易举就摆平这件事了,我替你摆平他。,生了二胎要摆平心态对待大的和小的。,D
以下哪句话中“巅峰”的意思(或用法)与其他句子不同。,我们终于爬上了泰山的巅峰。,此次演唱会让他的演艺生涯又达到巅峰。,他的事业正值巅峰状态，却不幸为一场车祸夺去性命。,能力让你走上巅峰，但品质才能你在上面站稳脚跟。,A
以下哪句话中“戏”的意思(或用法)与其他句子不同。,这部戏剧情跌宕起伏。,这出戏剧导演编置有序，很受人们喜爱。,今晚的戏剧已经开场了。,今天天气分外的好，公园里好多小朋友在嬉戏玩耍。,D
以下哪句话中“终年”的意思(或用法)与其他句子不同。,他终年都在玩。,终年八十岁。,这是一座终年积雪的高山。,他终年都无所事事。,B
以下哪句话中“衡量”的意思(或用法)与其他句子不同。,考试可以衡量你平时的学习情况。,时间往往是衡量人心的试金石。,这场灾难所造成的损失是无法用金钱来衡量的。,惟衡量之器耳。,D
以下哪句话中“从容”的意思(或用法)与其他句子不同。,人生有大起大落，也会有大喜大悲，这是必经之事，都要学会从容以对，才能暖笑无殇。从容是什么？从容是遇事不惊慌，积极乐观地面对所有，从容是对人不计较,你尽可慢慢看报，时间还很从容。,从容者大度，所以不急不躁；悠闲者达观，所以不温不火。,一个人的生活，不惊不扰，从容以待。,B
以下哪句话中“回归”的意思(或用法)与其他句子不同。,中央电视台举办大型歌舞晚会，庆祝香港回归祖国。,为了迎接澳门回归，市里组织青年进行环城长跑比赛。,实现台湾回归祖国，完成祖国统一的大业。,如果统计回归导致实验结果上的错觉，则称之为回归假象。,D
以下哪句话中“关闭”的意思(或用法)与其他句子不同。,商场关闭的话，会给周围的人带来很多的不便。,这家工厂因缺少资金而关闭了。,每关闭一所学校，就得多造一座监狱。,上帝在关闭一扇门的同时，一定会为你打开另一扇门。,D
以下哪句话中“黄油”的意思(或用法)与其他句子不同。,冬季饮食切记：吃面包，要拒绝黄油,你发现，如果一个人只靠面包和黄油度日，即使一周，也不再有人样了，仅仅是长有几个附属器官的胃而已。,黄油是一种润滑油。,在碗把黄油和红糖和白糖搅拌直到平稳和乳脂状。,C
以下哪句话中“中流”的意思(或用法)与其他句子不同。,中流砥柱。,居于社会中流。,击楫中流，泱泱大风。,船在中流飞速的穿行。,B
以下哪句话中“声带”的意思(或用法)与其他句子不同。,他的声带发出的声音好好听。,他的声带很独特。,我要去买一块声带。,我的声带受损了。,C
以下哪句话中“正方”的意思(或用法)与其他句子不同。,学生们在几何课上学习如何计算正方形和立方体的表面积和体积。,正方形的四条边长度相等，每个角都是90度。,正方：我方认为现代信息交流方式会增进人与人之间的理解。,这个盒子是一个立方体，有六个面，每个面都是正方形。,C
以下哪句话中“消耗”的意思(或用法)与其他句子不同。,他离家多年。杳无消耗。,将这些能量加在一起，那么一昼夜的能量消耗为2400-2500千卡。,第三部门在为社会公益事业奉献的同时要消耗各种资源，需要人力、物力、财力的投入。,如果倒算一下所要消耗的原材料的话，已经远远超出了目前全球这种原材料的供应量。,A
以下哪句话中“扫射”的意思(或用法)与其他句子不同。,吴荪甫走前一步，威严的眼光在屋子里扫射，最后落在阿萱的身上。,他在敌人疯狂的扫射下死里逃生。,敌人发现了他们，机枪拼命向这边扫射。,上岸的三个人当中，有两个在机枪扫射下直挺挺跌了下去。,A
