问题,选项1,选项2,选项3,选项4,答案
以下哪个句子使用了比喻修辞手法？,鸣蝉在树叶里吟唱。,月亮挂在夜空中，如同一颗明珠镶嵌在黑天幕布上，照亮着大地的一片宁静和祥和。,脑子特别清醒，眼睛特别明亮，立场特别坚定。,河水欢乐的流着，难道不像是在唱着歌吗？,B
以下哪个句子使用了反问修辞手法？,今天冷不冷？,难道有比锻炼身体增强体质更重要的事情吗？,明天9：30你能赶到吗？,是谁来掌控人类？,B
以下哪个句子使用了排比修辞手法？,高粱涨红了脸，稻子笑弯了腰，到处都充盈着丰收的喜悦。,在大是大非面前旗帜鲜明，在大风大浪面前无所畏惧，在各种诱惑考验面前立场坚定。,月光如银河洒满夜空，明亮而神秘，仿佛是宇宙向人间洒下的爱的光芒。,这些流云在落日的映照下，转眼间变成一道银灰、一道橘黄、一道血红、一道绛紫，就像是美丽的仙女在空中抖动着五彩斑斓的锦缎。,B
以下哪个句子使用了拟人修辞手法？,水街的另一边是一排翠绿的柳树，一阵风吹来，柳树像仙女一般，舞者翠绿的衣裙，翩翩起舞。,几场春雨后，笋芽争先恐后地从泥土中探出头来，看看这新奇的世界,大海真大啊，大得一眼望不到边，大海真蓝啊，蓝得和蔚蓝的天空一样，大海真深啊，深的一眼望不到底。,有些课目训了，不代表训精了，有些内容练了，不代表练实了，有的训练时间够了，不代表训强了。,B
以下哪个句子使用了排比修辞手法？,春天是个害羞的小姑娘，遮遮掩掩，躲躲藏藏，春天是出生的婴儿，娇小可爱。,越是接近顶峰，越是道路艰险，越是击水中流，越需要理论领航，越是矛盾突出，越要统一思想。,那位艺术家的笔触如同一汪清泉，在画布上荡漾出迷人的艳丽色彩，勾勒出大自然的奇妙和生机。,这个想法像一只飞翔的鸟儿，自由自在，不受束缚。,B
以下哪个句子使用了拟人修辞手法？,月亮姑娘升起来了，仿佛正悄悄地对身边的小星星说话。,闪着寒光的石头如智者般透着灵气。,猫，是月光下的独行者，猫，是阳光间的休闲者，猫，是桠枝上的穿梭者，猫，是池塘边的守望者。,夕阳如一抹红霞洒在大地，轻轻覆盖了整个城市，仿佛是天地之间温柔的吻。,A
以下哪个句子使用了拟人修辞手法？,他像一只鹰一样锐利地盯着目标。,松树一年四季总是那么绿，俯视着大地上日新月异的变化。,在提高认识以上率下上下真功，在求真求实立行立改上见真效，在创新驱动提质增效上求突破。,难道我会不知道？,B
以下哪个句子使用了比喻修辞手法？,行道树笔直地站在路边。,聚焦重点内容，突出重点时段，盯住重点单位，抓好重点人员。让思想调查更精准，让理论课堂更精实，让学习讨论更精彩。,一阵微风吹过，片片水稻随风摆动，犹如金色的海洋。,以大战略全面治党治国治军，以大气魄运筹国际国内大局，以大智慧推进改革发展稳定，以大手笔擘画内政外交国防，以大担当破解难局危局险局。,C
以下哪个句子使用了拟人修辞手法？,树叶也伴随着秋风翩翩起舞，扑到大地的怀抱,全体党员动起来，党员身份亮出来，优秀党员香起来。,这个城市的夜晚闪烁着无数的灯光，宛如一颗耀眼的明星。,对照党章党规学，对照系列讲话学，对照先进典型学，深入查找理想信念是否坚定，深入查找对党是否忠诚老实，深入查找政治立场是否坚定，解决党的意识不强问题，解决组织观念不强的问题，解决作用发挥不好的问题，党性观念得到提高，奉献意识得到提高，工作水平得到提高。,A
以下哪个句子使用了排比修辞手法？,河面闪着阳光笑，小河就像长长的锦缎了。,柳树那婀娜的舞姿，是那么美，那么自然。,蜡烛默默地哭泣着，它的泪一滴一滴地落下，最终陷入一片黑暗。,母爱是温暖心灵的太阳，母爱是滋润心灵的雨露，母爱是美化心灵的彩虹。,D
以下哪个句子使用了拟人修辞手法？,拿出融入日常的实际行动，拿出备战打仗的昂扬斗志，拿出改革创新的饱满精神。,蜡烛默默地哭泣着。,哪里要开山，哪里要架桥，哪里要把陡坡铲平，哪里要把弯度改小，都要经过勘测，进行周密计算。,诚信就是一幅山水画，洗去铅华雕饰，留下清新自然。,B
以下哪个句子使用了排比修辞手法？,时间好像一把尺子，在不知不觉中记录我们奋斗的轨迹，它也能衡量奋斗者前进的进程。,雪挂在树上，像一朵朵大白花，为树叶穿上了冬日的华服。,黄昏悄悄的走来，黑暗慢慢的笼罩了村庄。,若无每日坚持不懈的毅力，那么祖逖又怎能名垂千古，若无长年墨染池水的工夫，那么王羲之又怎能被尊为书圣，若无草稿盈筐的血汗，那么陈景润又怎能享誉世界。,D
以下哪个句子使用了比喻修辞手法？,春雨，你跟随春姑娘来到大地上，大地便生机勃勃地散发出一阵阵花草和泥土的芳香，沁人心脾。,桃花开得热烈，红得美艳，宛如姑娘白里透红的脸颊。,重大战略思想，重大理论观点，重大决策部署。,黄昏时分，夕阳如一幅抽象画，将天空染成瑰丽的橙红色，给人一种宁静而温暖的心境。,D
以下哪个句子使用了比喻修辞手法？,我们感恩生活给了我们色彩，我们感恩社会给了我们舞台，我们感恩所有帮助我们的人，是他们让我们懂得了社会的温暖，人间的真情。,开始，水泡很小，摇晃着越升越高，越来越大，最后在水面绽开了，在扑哧一笑中，消失了。,没有父母，就不会有我们自己，没有亲朋师长，就感受不到人间的真情。,时间好象一把尺子，它能衡量奋斗者前进的进程。,D
以下哪个句子使用了反问修辞手法？,大千世界，哪里没有野花的倩影呢？,他们会来参加聚会吗？,你喜欢吃什么食物？,什么使成千上万不同职业的人赶到天安门广场参加开国大典？,A
以下哪个句子使用了排比修辞手法？,风儿拂过麦浪，如同音符在大地上跳跃，伴随着麦穗轻轻摇曳，唤起人们内心深处的宁静和安宁。,那颗星星像是一盏明灯，照亮了夜空中的黑暗。,学习动作经常化，检查督导日常化，素质提升常态化。,春雨，你跟随春姑娘来到大地上，大地便生机勃勃地散发出一阵阵花草和泥土的芳香，沁人心脾。,C
以下哪个句子使用了反问修辞手法？,我做的一切，难道不都是为了你吗？,今天下午，爸爸整天拿着手机，不停地滑动着屏幕，是不是有什么心事？,我的朋友们都喜欢在寒假出去旅游，但是我不知道我寒假要去哪里，你们有没有什么好推荐的？,老师，今天我们要讲什么内容？,A
以下哪个句子使用了拟人修辞手法？,诚信是小朋友将拾到的一分钱放在警察叔叔手里时脸上的笑容，是少先队员宣誓时眼中的闪光。诚信是焦裕禄推开乡亲柴门送去的那一阵春风，它是孔繁森将藏族老妈妈冻伤的双脚捂进怀中的深情。,当潇潇雨下，夜色深沉的时候，长安街像一条静静的长河。,如果忘记是春天里消逝的冰层，那么铭记就是灼灼其华的桃花，如果忘记是夏季里落英缤纷的桃瓣，那么铭记就是映日别样红的荷花，如果忘记是秋季里已无挈雨盖的荷花，那么铭记就是犹有傲霜枝的金菊。,秋天迈着沉稳的脚步款款地向我们走来，又悄无声息地走开。,D
以下哪个句子使用了反问修辞手法？,你见过小米的妹妹吗？,你知道杜鹃花什么时候开花吗？,不耕耘怎么有收获？,你们公司是做什么的？,C
以下哪个句子使用了排比修辞手法？,风儿清唱着歌，唤醒了沉睡中的大地。,她的笑容像春天的花朵，绽放着温暖和喜悦。,天空中的星星眼睛一眨一眨的，如同老朋友在相互寒暄，讲述着他们的故事。,大海真大啊，大得一眼望不到边，大海真蓝啊，蓝得和蔚蓝的天空一样，大海真深啊，深的一眼望不到底。,D
以下哪个句子使用了排比修辞手法？,我渴望春天，因为它是我们冲破冬天的战利品，我渴望春天，因为它是一个充满美好的季节，我渴望春天，因为在那里我们会找到更高的梦想。,玉盘似的明月高挂在淡蓝色的天空中，月光像流水一样泻下来，大地一片银白色。,红叶挂满树枝，像燃烧的火焰雨下得很大，像断了线的珠子。,春天的雨是连绵的柔和的，它滋润着大地，抚摸着大地，小声地呼唤着大地，在人们不知不觉的时候，他们竟悄悄地汇成了小河，积成了深潭。,A
以下哪个句子使用了反问修辞手法？,你昨天回家后做了什么？,你们公司是做什么的？,小明的家离学校近吗？,如果没有把字从笨重的竹片上请到轻巧东西上的“异想”，怎会有纸的发明？,D
以下哪个句子使用了比喻修辞手法？,平凡是荒原，孕育着崛起，只要你肯开拓，平凡是泥土，孕育着收获，只要你肯耕耘，平凡是细流，孕育着深邃，只要你肯积累。,兴安岭是多么会打扮自己啊：青松作衫，白为裙，还穿着绣花鞋。,这种血性，源自对信念的坚守，源自对祖国的忠诚，源自对人民的热爱，源自对军人荣誉的珍惜。,你一碰到含羞草，他们就娇滴滴地合拢了。,A
以下哪个句子使用了比喻修辞手法？,长期以来，它适应了晚上九点左右的温度和湿度，到了那时，便悄悄绽开淡雅的花蕾，向人们展示美丽的笑脸。,把会议精神领会好传达好，把重点工作结合好统筹好，把主体责任履行好落实好。,他的心像一片平静的湖水，不受外界的干扰，倒映出最真实的自己。,鸣蝉在树叶里吟唱。,C
以下哪个句子使用了拟人修辞手法？,那只笔像是一把魔杖，让我能够创造出无限的奇迹。,秋天到了，树上金红的果子露出了笑脸，她在向着我们点头微笑。,牢记初心使命要有热爱之心，牢记初心使命要有坚定信心，牢记初心使命要有强大决心，牢记初心使命要有不变恒心。,春风像个慈祥的母亲，拂着你的脸颊，使你感到舒畅，心旷神怡。,B
以下哪个句子使用了拟人修辞手法？,春天的雨是连绵的柔和的，它滋润着大地，抚摸着大地，小声地呼唤着大地，在人们不知不觉的时候，他们竟悄悄地汇成了小河，积成了深潭。,友谊是花园中美丽的花朵。,因为有了追求，在风雨中，我们慢慢变强，因为有了追求，在磨砺中，我们渐渐成长，因为有了追求，在呼啸中，我们拥有希望，因为有了追求，在黑暗中，我们拥有光芒。,红红的太阳像一个大火球。,A
以下哪个句子使用了反问修辞手法？,你还信不过我吗？,这是哪？,明天五月天演唱会开抢，你打算去凑凑热闹吗？,你是日本人吗？,A
以下哪个句子使用了反问修辞手法？,这部电影讲述了抗美援朝的场景，我觉得很好看，我们一起去看好吗？,都是你自己找的，我怎么帮得了你的忙？,天气炎热，你们想吃冰淇淋还是喝冰水？,我不仅去西藏看雪山还去了福建看海，你们的暑假去哪里旅游呢？,B
以下哪个句子使用了比喻修辞手法？,在赓续传统中树起好样子，在直面考验中传递正能量，在躬身笃行中实现新作为。,要不它就于邻近的鹅群来上一场厮打。,那沉甸甸的稻谷，像一垄垄金黄的珍珠，真是喜煞人啊！,你看那远处的山，难道不像是在守卫我们的村庄吗？,C
以下哪个句子使用了排比修辞手法？,她的笑声像清澈的溪水一样清脆悦耳，使人摆脱了一身的疲惫。,如果忘记是冰层，那么铭记就是灼灼其华的桃花，如果忘记是落花，那么铭记就是映日别样红的荷花，如果忘记是落叶，那么铭记就是犹有傲霜枝的金菊。,那片湖水如同镜面，倒映着天空中绚丽的彩霞，仿佛一幅梦幻的水墨画。,水是野的，索溪像是一个从深山中蹦跳而出的野孩子，一会儿缠绕着山奔跑，一会儿撅着屁股，赌着气又自个儿闹去了。,B
以下哪个句子使用了拟人修辞手法？,学习教育的自我加压改造不够，整改问题的有效攻关施策不够，践行合,夜空中的小星星顽皮地眨着眼睛。,作风不散，秩序不乱，工作不减，标准不降。,雪花纷纷扬扬，如同银色的蝶舞翩翩起舞，在冬日的世界里绽放出了纯洁和静谧的美丽。,B
以下哪个句子使用了反问修辞手法？,答案不是很明显吗？,真理是什么？真理是生命之光，总是在我们迷茫的时候指引着我们前进。,文学有它的人情世故，历史有它的万古千秋，那么，你喜欢文学还是历史？,我们明天要去什么地方？,A
以下哪个句子使用了排比修辞手法？,荷花在风中微笑的脸庞真是娇艳无比，千千万万朵荷花让人迷醉其中。,黄昏时分，夕阳的余晖如同一幅抹了金边的水彩画，温柔地洒在大地上。,一片片枯叶好似仙女下凡，飘然而至。,谎言是一只心灵的蛀虫，将人的心蛀得面目全非，谎言是一个深深的泥潭，让人深陷其中无法自拔，谎言是一个无尽的黑洞，让人坠入罪恶的深渊万劫不复。,D
以下哪个句子使用了排比修辞手法？,朵朵雪白的和粉红的浮云，像一群被汽笛的厉声怒吼吓惊的大鸟一般，在蔚蓝的天空中很快地飘动着。,要知道一枝独放不是春，春天应是万紫千红的世界，要知道一帆待发不是英雄，千帆竞发才能显示出大海的壮阔，要知道一树参天不算风景，成排成行的树木才是遮风挡沙的坚固长城。,他的忍耐力就像一头顽强的骏马，无论遇到何种困难都能坚持下去。,你一碰到含羞草，他们就娇滴滴地合拢了，它们先是收起一片片小叶子，再收起长长的叶柄，好像我们握拳再收起手臂似的。,B
以下哪个句子使用了排比修辞手法？,两袖清风是廉者的幸福，生意兴隆是商人的幸福，惩恶锄奸是侠士的幸福。,这个事件像一场突如其来的风暴，让人措手不及，但也让人成长和坚强。,星星在夜空中闪烁，如同老朋友在相互寒暄，讲述着他们的故事。,这个成就像一座辉煌的城堡，代表着无数的努力和付出。,A
以下哪个句子使用了反问修辞手法？,这难道不是伟大的奇观吗？,什么事情让你这么生气？,你为什么不讲清楚呢？,他的手艺怎样？,A
以下哪个句子使用了排比修辞手法？,钱能买到佳肴，不能买到胃口，钱能买到书籍，不能买到知识，钱能买到药品，不能买到健康。,黄昏时分，夕阳渐渐落下，如同一颗褪去光芒的珍珠，轻轻沉入地平线。,风儿带着云彩飘过，仿佛是在告诉我们，生命的旅程就像一场自由的飞翔。,秋天，片片枫叶随风飘落在地上，给大地铺上了一层红色的地毯。,A
以下哪个句子使用了比喻修辞手法？,小河清澈见底，如同一条透明的蓝绸子，静静地躺在大地的怀抱里。,春天轻轻的走来了，到处充满了温暖。,让倾听的过程成为享受，让倾听的过程在我们心中沉浸，让倾听成为人与人之间的纽带。,我们感恩父母给了我们生命，我们感恩老师给了我们知识，我们感恩朋友给了我们友谊。,A
以下哪个句子使用了拟人修辞手法？,“采菊东篱下”是一种清静的潇洒，“胜似闲庭信步”是一种喜悦的潇洒，“明月松间照”是一种怡然的潇洒。“举酒邀明月”是一种孤寂的潇洒。“仰天大笑出门去”是一种自信的潇洒。“我自横刀冲天笑”是一种无畏的潇洒。“留得残荷听雨声”是一种宽容的潇洒。“一日看尽长安花”是一种得意的潇洒。“醉卧沙场君莫笑”是一种豪迈的潇洒。,太阳是个害羞的小姑娘，遮遮掩掩，躲躲藏藏。,黄昏时分，夕阳如一幅抽象画，将天空染成瑰丽的橙红色，给人一种宁静而温暖的心境。,以坚强定力驱除焦虑心态，以大局意识消除失落心态，以辩证思维破除攀比心态，以进取精神戒除到站心态。,B
以下哪个句子使用了拟人修辞手法？,你看那远处的山，难道不像是在守卫我们的村庄吗？,钱能买漂亮的眼镜，但买不来明亮的眼睛，钱能买高档的钢笔，但买不来敏捷的文思，钱能买来芬芳的玫瑰，但买不来真正的爱情。,那颗星星像是一盏明灯，照亮了夜空中的黑暗。,红叶挂满树枝，像燃烧的火焰雨下得很大，像断了线的珠子。,A
以下哪个句子使用了反问修辞手法？,牡丹之乡在哪里呢？,浪费时间难道不就是在浪费生命吗？,妈妈回家会给我带玩具吗？,为什么太阳会东升西落呢？,B
以下哪个句子使用了反问修辞手法？,得把他们抱过来，同死人待在一起怎么行呢？,云横秦岭家何在？,你知道杜鹃花什么时候开花吗？,靠什么呼风唤雨呢？,A
以下哪个句子使用了排比修辞手法？,剥开橘子，哈，里面躲着十来个月亮似的橘娃，一个个胖乎乎的，可爱极了。,他的忍耐力像是一座坚固的堡垒，任何困难都无法动摇他的决心。,逆境就是一首歌，我们应当静静地倾听，逆境就是一首诗，读懂它你会有更深的感触，逆境就是一面镜子，能让我们更加清楚地看到自己。,杜甫川唱来柳林铺笑，红旗飘飘把手招。,C
以下哪个句子使用了比喻修辞手法？,书籍好比一架梯子，它能引导我们登上知识的殿堂，书籍如同一把钥匙，它能帮助我们开启心灵的智慧之窗，书籍犹如一汪清泉，能给干涸的心灵带来滋润。,宁静的夜晚，只有那天上的星星正在窃窃私语。,人生需要理想的呼唤。你慵懒时，它呼唤你勤奋，你昏睡时，它呼唤你，你高傲时，它呼唤你清醒谦恭(谦虚、谦逊)，你莽撞时，它呼唤你谨慎(小心)，你跌倒时，它呼唤你站起(站立)。,越是接近顶峰，越是道路艰险，越是击水中流，越需要理论领航，越是矛盾突出，越要统一思想。,A
以下哪个句子使用了比喻修辞手法？,高山不屑一顾的俯视着大地。,只有学会倾听，你才会懂得尊重他人，只有学会倾听，你才会得到更多的哲理及经典语言，只有学会倾听，你才能有一颗积极向上的心，只有学会倾听，你才能觉得任何一种声音都让人有无限遐想。,没有落日般的瑰丽，没有流云般的飘逸，但可以有水晶般的清纯与透明。没有大山般的巍峨，没有湖水般的轻柔，但可以有岩石般的坚毅与稳重。没有大海般的浩瀚，没有瀑布般的飞泻，但可以有泥土般的朴素与随和。,心思如风，轻轻吹拂，带走忧伤，带来宁静与清新。,D
以下哪个句子使用了反问修辞手法？,你难道不会写这个字吗？,你能不能帮我一下？,云横秦岭家何在？,他摸出的是什么？,A
以下哪个句子使用了排比修辞手法？,月亮爬上了树梢，轻轻地进入梦乡，星星在旁边眨着明亮地眼睛，留下了一片宁静的夜空。,幸福是“临行密密缝，意恐迟迟归”的牵挂，幸福是“春种一粒粟，秋收万颗子”的收获，幸福是“采菊东篱下，悠然见南山”的闲适。,风是调皮的，一会把那朵悠闲的云赶得满天跑，还不断变化她的面具。,晨曦透过云层穿透大地，仿佛一缕温柔的光芒轻抚着沉睡的大自然。,B
以下哪个句子使用了排比修辞手法？,春天轻轻的走来了，到处充满了温暖，到处都是生机勃勃的美好景象。,月明人静的夜里，它们便唱起歌来，织，织，织，织呀。织，织，织，织呀。那歌声真好听。赛过催眠曲。,因为有了追求，在风雨中，我们慢慢变强，因为有了追求，在磨砺中，我们渐渐成长，因为有了追求，在黑暗中，我们拥有光芒。,点点的繁星好似颗颗明珠，镶嵌在天幕下，闪闪地发着光。,C
以下哪个句子使用了拟人修辞手法？,谎言是一只心灵的蛀虫，将人的心蛀得面目全非。,鸟儿将巢安放在繁花嫩叶当中，高兴起来了，呼朋引伴地卖弄清脆的喉咙，唱出宛转的曲子，跟轻风流水应和着。,他们的信念是那么坚定，穿过茫茫草原，他们的信念是那么坚定，淌过滚滚波涛，他们的信念是那么坚定，跨过皑皑雪山。,那嫩绿的新叶，那田野的薄雾轻烟，象她的衣衫。,B
以下哪个句子使用了拟人修辞手法？,春姑娘来到人间，为大地披上绿衣。,井底的蛙，你自我欢唱时，视野便窄了，笼中的鸟，你安于供养时，自由便没了，,誓言在心，誓言就是使命，责任在心，责任就是使命，事业在心，事业就是使命。,他的忍耐力像是一座坚固的堡垒，任何困难都无法动摇他的决心。,A
以下哪个句子使用了反问修辞手法？,他怎么不算天之骄子呢？,面对这么多权威人物，你能否给出更多证据来支持你的观点？,为什么大家都喜欢小白兔，不喜欢大灰狼？,我拿我最喜欢的玩具跟你混换这包零食可以吗？,A
以下哪个句子使用了反问修辞手法？,我不仅喜欢唱歌，还喜欢跳舞，怎么不算是个文艺分子呢？,为什么人生应该有一次说走就走的旅行？因为那是我们年轻时冲动的体现。,在逃去如飞的日子里，在千门万户的世界里的我能做些什么呢？,在这个万物复苏的季节里，你们想出去春游吗？去见见外面的世界吗？,A
以下哪个句子使用了排比修辞手法？,雪花纷纷落下，宛如悄悄地散发着纯洁的诗意，覆盖了整个世界。,这个社区像一片和谐的的大森林，各种人和文化在这里相互融合。,我家的猫非常可爱，它时而玩玩毛线球，时而捉一捉老鼠，时而逗我们全家人哈哈大笑。,蜜蜂为花儿舞蹈，花儿为蜜蜂献上了甜美的花。,C
以下哪个句子使用了比喻修辞手法？,花儿在阳光下微笑，显得它们美丽而活力。,蟋蟀盖房子大多是在十月，秋天初寒的时候。,猫的叫声，有时如睡梦中婴儿的呢喃，有时如情人的手般轻柔，有时如午夜恶魔般狰狞。,给我一次艰难，让我懂得战胜，给我一次挫折，让我饱尝锻炼，给我一次失利，让我学会检讨，给我一次耻辱，让我学会振奋，我多谢每一次带我走向成功的阅历。,C
以下哪个句子使用了反问修辞手法？,你多大啦？,你今天几点起床的？,谁是中国最可爱的人？,不是自家人，难道就不该互相关心吗？,D
以下哪个句子使用了比喻修辞手法？,抓根本铸军魂，抓中心谋打赢，抓改革促转型，抓基层打基础，抓作风正风气，抓班子强队伍。,秋天的高粱，在风中摇曳着曼妙的身姿，低着那涨红的脸不时地眺望下远方，似是等着远归的情人。,阳光将缕缕柔光播撒在大海上。,在金色的黄昏，大海宛如无尽的画布，涂满了午后的柔和光晕，绘画出夕阳西下的绚丽壮丽。,D
以下哪个句子使用了反问修辞手法？,外面的天气太冷了，如果你要出去，要不要换件衣服？,你有什么事儿瞒着我？,为什么你要从这条小路回家，而不从大路回家？,我这么优秀，难道不值得被夸赞吗？,D
以下哪个句子使用了反问修辞手法？,你能不能帮我一下？,彩灯是什么？,河水欢乐的流着，难道不像是在唱着歌吗？,太阳离我们有多远呢？,C
以下哪个句子使用了比喻修辞手法？,静物是凝固的美，动景是流动的美，直线是流畅的美，曲线是婉转的美。,坚持读原著，学原文，悟原理，联系实际学，带着问题学，不断跟进学，领会掌握基本精神，基本内容，基本要求，做到学而信，学而思，学而行。,夕阳西下，余晖映照在青山之上，如金色的绸带轻轻缠绕，将大地染成一片温暖的画卷。,杜甫川唱来柳林铺笑，红旗飘飘把手招。,C
以下哪个句子使用了比喻修辞手法？,杭州的西湖难道不像一颗光彩夺目的明珠？,拥有知识，就拥有了无限的光明和希望，拥有知识，就拥有了无限的力量和财富。,赏高山，自然会在高山的巍峨中找到强悍和凝重，欣赏大树，自然会在大树的伟岸中获得自立和尊严，欣赏小草，自然会在小草的葳蕤中汲取执著与希望。,兴安岭是多么会打扮自己啊：青松作衫，白桦为裙，还穿着绣花鞋。,A
以下哪个句子使用了比喻修辞手法？,风儿拂过林间，如同一位优雅的舞者，在树梢上轻舞飞扬，唤起了大自然的音符。,以大战略全面治党治国治军，以大气魄运筹国际国内大局，以大智慧推进改革发展稳定，以大手笔擘画内政外交国防，以大担当破解难局危局险局。,他们在树枝间来回跳动，婉转的歌唱，非常惹人喜爱。,我们感恩生活给了我们色彩，我们感恩社会给了我们舞台，我们感恩所有帮助我们的人，是他们让我们懂得了社会的温暖，人间的真情。,A
以下哪个句子使用了比喻修辞手法？,宽容的朋友一定情同手足，宽容的家庭一定幸福美满，宽容的民族一定强盛不衰，宽容的世界一定和平美丽。,春天到了，大地变成了一片绿毯。,冬爷爷又来到了大山上。当他看到那灰蒙蒙的山群，心情特别不好。冬爷爷灵机一动，从他的雪口袋中抓了一把雪，撒向大山。,人们爱秋天，爱她的秋高气爽，爱她的硕果累累，人们爱春天，爱她的山青水绿，爱她的万紫千红，人们都爱夏天，爱她的夏雨绵绵，爱她的艳阳高照。,B
以下哪个句子使用了排比修辞手法？,这座古老的城市宛如一位沉睡的女神，静静地躺在山脚下，被岁月轻轻抚摸，散发着沉甸甸的历史氛围。,朋友是快乐日子里的一把吉它，尽情地为你弹奏生活的愉悦，朋友是忧伤日子里的一股春风，轻轻地为你拂去心中的愁云，朋友是成功道路上的一位良师，热情的将你引向阳光的地带。,这个未来像一片充满希望的田野，等待着我们去开垦和收获，只要我们付出了不懈的努力，在土地上播撒下我们的汗水，就一定能收获丰收的果实。,波涛汹涌的大海，像个无畏的勇士，不断地向岸边挑战。,B
以下哪个句子使用了比喻修辞手法？,天蓝得像一汪海水，几朵飘悠悠的白云，洋洋洒洒地点缀在天空。,在增强党性上下功夫，在究源穷理中求突破，在渗透结合上见成效。,天空中的星星眼睛一眨一眨的。,小树摆动着枝叶，向我们点头笑。,A
以下哪个句子使用了排比修辞手法？,一排排柳树倒映在水中，欣赏着自己的容貌。,大海波涛汹涌，像是在为人们讲述着它的故事，不断地吸引着人们去探索。,拥有青春，就拥有了一份潇洒和风流，拥有青春，就拥有了一份灿烂和辉煌。,这个宇宙像一座无边的海洋，未知而神秘，让人探索不尽。,C
以下哪个句子使用了排比修辞手法？,我爱竹子，爱它的顽强。每当狂风暴雨来临，它们个个精神抖擞，毫不畏惧。,雨丝落在湖面上，如同天空的泪珠轻轻涟漪。,学习教育的自我加压改造不够，整改问题的有效攻关施策不够，践行合一的结合力度不够。,她的笑容像春天的花朵，绽放着温暖和喜悦。,C
以下哪个句子使用了拟人修辞手法？,拧紧“总开关”，找准“切入点”，杜绝“空对空”。,讲政治，有信念，讲规矩，有纪律，讲道德，有品行，讲奉献，有作为。,春天就像出生的婴儿，娇小可爱。,杜甫川唱来柳林铺笑，红旗飘飘把手招,D
以下哪个句子使用了拟人修辞手法？,只有学会倾听，你才会懂得尊重他人，只有学会倾听，你才会得到更多的哲理及经典语言，只有学会倾听，你才能有一颗积极向上的心，只有学会倾听，你才能觉得任何一种声音都让人有无限遐想。,夏季将大地烤的像一个大蒸笼。,模模糊糊的看到了远处的柿子树，树是深棕色的，树上挂着一个个红似火焰的小灯笼，象一些些吃饱了的小娃娃，真心爱。,阳光将缕缕柔光播撒在大海上。,D
以下哪个句子使用了比喻修辞手法？,骄阳下，小草无精打采地垂着手，低着头，无声地叹息着。,树木在寒风中摇曳，像是在跳着和谐的舞蹈，展示着他们的坚韧和力量。,把突出问题找出来，把整改措施定出来，把整改承诺亮出来。,这个时代像一场狂欢的盛宴，各种新奇的事物和想法层出不穷,D
以下哪个句子使用了反问修辞手法？,小兰考上大学了吗？,他今天工作吗？,难道我不是你的朋友吗？,真理是什么？,C
以下哪个句子使用了反问修辞手法？,难道这个价值观对你有约束吗？,今天冷不冷？,叔叔，您在看什么？,为什么月亮会发光呢？,A
以下哪个句子使用了比喻修辞手法？,仲夏夜，清风徐徐吹来，明月追赶晚霞，早早爬过山头，挂在中天，那月光似乎带着一股清凉，驱赶着酷日留下的余热。,它好肥，整个身子好像一个蓬松的球儿。,朋友是快乐日子里的一把吉它，尽情地为你弹奏生活的愉悦，朋友是忧伤日子里的一股春风，轻轻地为你拂去心中的愁云，朋友是成功道路上的一位良师，热情的将你引向阳光的地带。,小柳树在微风里得意的跳起舞来。,B
以下哪个句子使用了排比修辞手法？,赏识不是单向施舍，是智慧与智慧的主动碰撞，赏识不是廉价恭维，是对一种相对价值的认可，赏识不是奉承，而是对事物固有魅力的真诚。,那点薄雪好像忽然害了羞，微微露出点粉色，可爱极了，让人看了不由得心生爱怜。,红叶挂满树枝，像燃烧的火焰雨下得很大，像断了线的珠子。,这段记忆像一片深深的海洋，藏着无数的秘密和情感。,A
以下哪个句子使用了比喻修辞手法？,时间如一位温文尔雅的绅士，悄然走过岁月的长廊，带走了青春的容颜，却留下了沧桑的印记。,深化学的效果，把准改的重点，提振做的状态，树牢查的威信。思想紧起来，标准严起来，措施实起来。,秋天是美丽的，在曼妙的韵律中舞着她的裙摆。,他们的信念是那么坚定，穿过茫茫草原，他们的信念是那么坚定，淌过滚滚波涛，他们的信念是那么坚定，跨过皑皑雪山。,A
以下哪个句子使用了拟人修辞手法？,满树的石榴花张开了火红的笑脸。,沉默的夜空是一幅黑色的画布，星星如同点缀的银粉，细细撒落在宇宙的画布上。,两袖清风是廉者的幸福，生意兴隆是商人的幸福，惩恶锄奸是侠士的幸福，品学兼优是学生的幸福，扶危济困是善人的幸福。,月光洒在湖面上，如同银河从天空倾泻而下，在宁静的夜晚里，世界变得如诗如画。,A
以下哪个句子使用了排比修辞手法？,溪水中金鱼悠闲地摇着尾巴游过来，在阳光的折射下，身上的鳞片闪着金光。,复杂形势面前，唯有不忘初心，才能知根知本。繁重任务面前，唯有牢记使命，才能砥砺前行。,一群兔子放出来了，三三两两的，一伙儿一伙儿地在院子里跑来跑去，灰的，黑的，白的，像一个个小绒球在蹦来跳去。,这个地方像一片辽阔的草原，风自由的吹着，长到膝盖的绿草，张开双臂，感觉充满了无限的可能性。,B
以下哪个句子使用了比喻修辞手法？,晨曦初现，远山如同一幅淡墨山水画，恍若仙境般宁静而美丽。,油蛉在这里低唱，蟋蟋们在这里弹琴。,不因独处而无视，不因事小而轻视，不因私欲而漠视。,荷花在风中微笑的脸庞真是娇艳无比。,A
