问题,选项1,选项2,选项3,选项4,答案
“把水果放在地窖里，可以减少水分的散失。”这句话中“水果”与下列哪个词具有上下位关系？,芹菜,杯柄,萝卜,茄子,B
“最近，我在新加坡看了王菲的演唱会，这是她复出巡演的一部分。”这句话中“王菲”与下列哪个词具有上下位关系？,歌星,电视剧,主题曲,张柏芝,A
“你不该拿有残疾的同学来取闹。”这句话中“取闹”与下列哪个词具有反义关系？,爱护,笑脸,微笑,傻笑,A
“袒护和包庇坏人是对人民的极大犯罪。”这句话中“包庇”与下列哪个词具有反义关系？,揭发,武器,发现,发生,A
“他心中感到非常惭愧。”这句话中“心中”与下列哪个词具有近义关系？,胸口,内心,心态,心情,B
“精神物质两手抓，科学发展结奇葩，修身养性严律己，城乡遍开文明花。尊老爱幼扬美德，敬业奉献爱国家，争先创优齐努力，跨越赶超你我他。”这句话中“争先创优”与下列哪个词具有近义关系？,力挽狂澜,力拼,尽力,力量,B
“所以另一条讯息是文体。”这句话中“文体”与下列哪个词具有上下位关系？,文察,记叙文,文章,文部,B
“终于，在一小时候，在叉子和电钻都坏了以后，我们才打开房门，救出洋娃娃。”这句话中“电钻”与下列哪个词具有上下位关系？,电池,冲击钻,电锤,工具,D
“眼睛害病从手起，肚子害病从嘴起。”这句话中“害病”与下列哪个词具有上下位关系？,病毒,内部,白内障,害虫,C
“他很快就上手了他的工作。”这句话中“上手”与下列哪个词具有近义关系？,驾驭,火光,火气,火种,A
“一只山羊和一只海龟同时进入电梯。”这句话中“龟”与下列哪个词具有上下位关系？,大海,海龟,海鸟,海鸥,B
“我们今天学习如何弹奏乐器。”这句话中“乐器”与下列哪个词具有上下位关系？,音乐,乐谱,口琴,吹拉弹唱,C
“他的作文写得极生动，我真是佩服得五体投地。”这句话中“五体投地”与下列哪个词具有近义关系？,礼仪,地板,顶礼膜拜,身体,C
“平凡的母亲也很伟大。”这句话中“平凡”与下列哪个词具有反义关系？,高度,凡是,上升,至高无上,D
“谈话拖拖沓沓时会发生什么呢？”这句话中“拖沓”与下列哪个词具有反义关系？,利索,拖把,索道,利益,A
“对于移植的心瓣膜来说，同样存在这个问题。”这句话中“心瓣膜”与下列哪个词具有整体部分关系？,膜炎,防护膜,心脏,膜片,C
“我感到与太阳和岩石浑然一体。”这句话中“浑然一体”与下列哪个词具有反义关系？,先见之明,倾诉,泾渭分明,柳暗花明,C
“早晨初生的太阳多么美啊！”这句话中“太阳”与下列哪个词具有近义关系？,行星,日头,霞光,月亮,B
“车架必须承载发动机、车身、车轮和其它汽车零部件。”这句话中“车架”与下列哪个词具有整体部分关系？,自行车,架子鼓,架空,搭架,A
“再巧妙的谎言也有真相大白的一天。”这句话中“谎言”与下列哪个词具有反义关系？,真诚,忧愁,言语,话语,B
“并且其中亦透露出对世教风习与人心流俗之针砭，而深蕴超越名士主流的平等观点。”这句话中“深蕴”与下列哪个词具有反义关系？,蕴藏,浅色,深度,肤浅,D
“每天早晨，酒店提供自助早餐任您无限量享用，包括炒蛋、煎蛋、水煮蛋或煮蛋以及猪肉或素食香肠等熟食。”这句话中“素食”与下列哪个词具有反义关系？,荤菜,菜品,素来,食物,A
“他是一位专业的运动员，由于长期的锻炼，他显得身强体壮，精力充沛。”这句话中“身强体壮”与下列哪个词具有反义关系？,软弱无力,裤头,打球,运动,A
“在往远处看，雨，就像是断了线的珍珠，抛洒在烟波浩渺的湖面上，点点闪闪，晶莹明亮。”这句话中“抛洒”与下列哪个词具有近义关系？,浇水,防御,浇洒,花洒,C
“我喜欢用色彩缤纷的画笔创作，让我的画作更加生动和有趣。”这句话中“色彩缤纷”与下列哪个词具有近义关系？,丰神异彩,红光满面,五颜六色,彩笔生花,C
“有丝分裂的开始称为前期，核仁消失。”这句话中“核仁”与下列哪个词具有整体部分关系？,原子核,蔬菜,细胞核,内核,C
“这个盆子是铁做的。”这句话中“盆子”与下列哪个词具有上下位关系？,盆景,脸盆,盆满钵满,盆倾瓮倒,B
“会厌软骨为弹力软骨，可活动，平时耸立开放喉腔。”这句话中“软骨”与下列哪个词具有整体部分关系？,鼻梁,隔断,中间,鼻涕,A
“他的舞姿非常呆板，缺乏活力，而她的舞姿则非常灵活，如行云流水般流畅。”这句话中“呆板”与下列哪个词具有反义关系？,灵活,远近,欢快,活泼,A
“爸爸是个谨慎谦虚的人，总将“才疏学浅”挂在嘴边。”这句话中“才疏学浅”与下列哪个词具有反义关系？,高度,才高八斗,学识,才学,B
“那个昏庸的皇帝由于整日贪图享乐，最终葬送了自己的国家。”这句话中“昏庸”与下列哪个词具有反义关系？,贤者,贤明,歌颂,明亮,B
“菊花，一种美丽的花卉，以其多彩的花色和独特的形状而闻名，常常被用来象征坚韧、秋季和友谊。”这句话中“花”与下列哪个词具有上下位关系？,绿叶,菊花,大树,盆栽,B
“我在春天的时候常常听到杜鹃的鸣叫声。”这句话中“杜鹃”与下列哪个词具有近义关系？,山谷,手绢,木绢,布谷鸟,D
“他在比赛中一开始处于劣势但是最后赢得了胜利”这句话中“劣势”与下列哪个词具有近义关系？,鞍部,颓势,山脊,山峰,B
“这个电风扇的扇头坏了，需要修理或者更换一个新的扇头才能继续使用。”这句话中“电风扇”与下列哪个词具有整体部分关系？,扇子,扇头,扇风,空调,B
“我相信香港政府能够有效地管理香港的事务，维护”这句话中“香港政府”与下列哪个词具有近义关系？,云南,福州,上海,中华人民共和国香港特别行政区政府,D
“我每天都吃粮食来维持身体的能量和健康。”这句话中“粮食”与下列哪个词具有上下位关系？,谷物,胃,丰收,收割,A
“他对爷爷的话言听计从，是个公认的孝顺孩子。”这句话中“言听计从”与下列哪个词具有反义关系？,服从,听从,倔,强迫,C
“都是朋友，为何要分厚薄。”这句话中“厚薄”与下列哪个词具有反义关系？,平等,领士,偏倚,冷热,A
“明成祖是明朝的一位伟大皇帝，他在位期间推行了一系列政策，使得明朝国力强盛。”这句话中“明成祖”与下列哪个词具有近义关系？,慈溪,刘邦,汉高祖,永乐帝,D
“时针的转动提醒着我，时间正在不断流逝。”这句话中“时针”与下列哪个词具有整体部分关系？,钟表,时间,指针,刻度,A
“这件事还没有调查清楚，暂时不能公开。”这句话中“公开”与下列哪个词具有反义关系？,密码,非常,秘密,公共,C
“健身房里有各种运动器械，如跑步机、哑铃和仰卧板。”这句话中“运动器械”与下列哪个词具有上下位关系？,跑步机,运动饮料,运动服饰,运动鞋,A
“沙尘暴，易诱发呼吸道疾病”这句话中“呼吸道”与下列哪个词具有整体部分关系？,气体,琳琅,管道,气管,D
“通过计算机对输入数据的智能化分析判断，给出建议性结论，实现计算机决策化管理。”这句话中“计算机”与下列哪个词具有整体部分关系？,驱动程序,CPU,网卡协议,计算器,B
“他目不转睛地注视着窗外的陌生人”这句话中“目不转睛”与下列哪个词具有近义关系？,历历在目,聚集会神,举世瞩目,引人注目,B
“粮食生产低效益、购销低效率、消费低效用、供求低效能等问题一直困扰着我国粮食经济。”这句话中“低效”与下列哪个词具有反义关系？,高度,低矮,效力,高效,D
“上右影像则是发生在15天后的月偏食，当时满月滑进了地球的暗影里。”这句话中“偏食”与下列哪个词具有反义关系？,吃饭,拓展,全食,食堂,C
“我不喜欢和生人交谈。”这句话中“生人”与下列哪个词具有近义关系？,同事,陌生人,熟人,朋友,B
“是制作春季套装、休闲装、裤裙装的时尚面料。”这句话中“休闲装”与下列哪个词具有反义关系？,正装,服役,服饰,服饰店,A
“轮船慢慢地驶离海港，消失在远方的地平线上。”这句话中“轮船”与下列哪个词具有整体部分关系？,风帆,墨鱼,停泊,海港,A
“他手中的礼物包裹沉甸甸的，让他感到十分惊喜。”这句话中“沉甸甸”与下列哪个词具有反义关系？,轻盈,轻飘飘,沉重,轻巧,B
“内存不够，无法打开Internet快捷方式。”这句话中“内存”与下列哪个词具有整体部分关系？,工艺,身体,加工,平台,B
“最近，修缮队疏通了长期堵塞的排水管。”这句话中“疏通”与下列哪个词具有反义关系？,失调,葡萄,堵塞,挑拨,C
“盆栽植物除了观赏外，还具有净化室内空气的作用。”这句话中“植物”与下列哪个词具有整体部分关系？,根本,根,开花,基础,B
“他为人处事很低调，一直都是默默无闻的。”这句话中“低调”与下列哪个词具有反义关系？,高处,春天,高峰,调动,B
“尺骨是组成肘关节的主要骨骼。”这句话中“肘关节”与下列哪个词具有整体部分关系？,胳膊,折叠,弯曲,关系,A
“对暴露出来的雌蕊可以立刻进行授粉。”这句话中“雌蕊”与下列哪个词具有整体部分关系？,孕育,生态系统,子房,房间,C
“我今天去眼镜店配了一副新的镜片。”这句话中“眼镜”与下列哪个词具有整体部分关系？,镜头,镜片,镜面,镜像,B
“虽然我家的洗衣机是全自动的，但放水时不是把水直接排到下水道中，而是用盆接着再倒在桶里留着冲马桶。”这句话中“洗衣机”与下列哪个词具有整体部分关系？,外筒,外面,外套,铁桶,A
“教书先生十分严厉。”这句话中“先生”与下列哪个词具有反义关系？,老板,离奇,女士,学生,D
“甄别会议前，官僚们几天几夜没有合眼地准备资料，临到头还是一败涂地，国家公务员的威风扫地以尽。”这句话中“官僚”与下列哪个词具有近义关系？,律师,记者,医生,政客,D
“我们的母牛产乳甚多。”这句话中“牛”与下列哪个词具有上下位关系？,非洲野牛,牛气冲天,赘婿得牛,牛奶,A
“她将手镯戴在手腕上。”这句话中“手腕”与下列哪个词具有整体部分关系？,腕力,腕炎,手,腕表,C
“中国有许多传统节日”这句话中“节日”与下列哪个词具有上下位关系？,下雨,床位,扫墓,清明,D
“川菜，是中国四大菜系之一，以其麻、辣、鲜、香的独特口味而闻名，注重火候和调味，兼具色、香、味、形的特点，是一种令人垂涎欲滴的美食享受。”这句话中“美食”与下列哪个词具有上下位关系？,吃火锅,涮羊肉,品茶,川菜,D
“而且，十二指肠，靠近胃的小肠部分，胃幽门部或胃出口处的角度扩张可能提示胰腺炎的存在。”这句话中“幽门部”与下列哪个词具有整体部分关系？,胃,幽深,幽怨,幽幕,A
“乐器有金川，知音遍天下。”这句话中“乐器”与下列哪个词具有上下位关系？,演奏者,吹奏乐器,鼓手,指挥家,B
“他享用着一碗热腾腾的玉米粥，满口的香甜味道让他感到心旷神怡。”这句话中“玉米”与下列哪个词具有上下位关系？,零食,生长,糖果,薯片,B
“我今天早上起床时感觉有些发昏，头晕眼花。”这句话中“发昏”与下列哪个词具有反义关系？,清醒,头发,黄昏,清澈,A
“你的铅笔差点戳了我的眼睛。”这句话中“铅笔”与下列哪个词具有整体部分关系？,学习用品,外壳涂料,笔,2B铅笔,B
“玫瑰花的花色大多是红色的。”这句话中“花色”与下列哪个词具有近义关系？,花样,纸袋,茂盛,颜色,D
“他气得说不出话来，只有嘴唇微微颤动着。”这句话中“唇”与下列哪个词具有整体部分关系？,品尝,味觉,嘴巴,嗅觉,C
“在老师眼里，他就是个劣等生”这句话中“劣等生”与下列哪个词具有反义关系？,风扇,麻将,马甲,师范生,D
“中耳炎是儿童中最常见的疾病之一。”这句话中“中耳”与下列哪个词具有整体部分关系？,耳钉,耳朵,耳塞,声音,B
“牡丹，中国传统园林中常见的花卉之一，以其丰满的花朵和绚丽的色彩而著称，被誉为“花中之王”，象征着富贵、繁荣和美丽。”这句话中“花”与下列哪个词具有上下位关系？,丛林,灌木,苔藓,牡丹,D
“花柱可在进化中相应的被延长以适应风媒、虫媒、或动物传粉等不同方式”这句话中“花柱”与下列哪个词具有整体部分关系？,开花,枝叶,柱子,雌蕊,D
“她的相貌姣好，容光焕发。”这句话中“相貌”与下列哪个词具有近义关系？,表演,仪表,仪式,相机,B
“大家都推举你，你就别谦辞了”这句话中“大家”与下列哪个词具有上下位关系？,吉他,山歌,琵琶,文学家,D
“其实，外耳只不过是收拢声音的喇叭。”这句话中“外耳”与下列哪个词具有整体部分关系？,听觉,耳塞,声音,耳朵,D
“医院科室医疗质量评价是全院质量评价的基础。”这句话中“医院科室”与下列哪个词具有上下位关系？,妇科,病房,太平间,手术室,A
“北京历史悠久，有着深厚的文化底蕴与独特的风土人情。”这句话中“独特”与下列哪个词具有反义关系？,独自,普遍,特点,普通,D
“他擅长用白描的手法，把场景和人物描写得淋漓尽致。”这句话中“场景”与下列哪个词具有上下位关系？,景观,中景,景色,景佑,B
“正文后列出参考文献和第一作者简介及通讯方式。”这句话中“正文”与下列哪个词具有整体部分关系？,文本,密码,文化,正面,B
“鞭炮劈里啪啦地响。”这句话中“鞭炮”与下列哪个词具有上下位关系？,爆炸物,鞭子,物品,炸裂,A
“天河是一个罕见奇观”这句话中“天河”与下列哪个词具有近义关系？,黄河,星河,冰河,长河,B
“读书志在圣贤，为官心存君国。守分安命，顺时听天。为人若此，庶乎近焉。”这句话中“圣贤”与下列哪个词具有反义关系？,昏庸,讨厌,庸俗,贤者,A
“这条街道冷冷清清，几乎没有行人，让人感到有些寂寥。”这句话中“冷冷清清”与下列哪个词具有反义关系？,如火如荼,红红火火,吵吵嚷嚷,热热闹闹,D
“厚厚的皮肤和发育良好弹性十足的皮下组织，通常会在脖子的区域形成皱褶。”这句话中“皮下组织”与下列哪个词具有整体部分关系？,皮壳,皮球,眉毛,眼皮,D
“今年夏天特别热。”这句话中“特别”与下列哪个词具有近义关系？,特多龙,心低意沮,非常,特情,C
