prompt,对象,状态,颜色,数量,位置,绘画风格,文化风格,手部,五官,性别,反常识
一条古朴的西装裤,"('裤',)",0,0,1,0,0,0,0,0,0,0
一条花纹精美的鱼，顶级刻画,"('花纹', '鱼')",0,0,1,0,1,0,0,0,0,0
一条毛巾，毛巾上纹的动物栩栩如生，中国风,"('毛巾', '动物')",0,0,1,1,0,1,0,0,0,0
一条散发着格林童话氛围的石子路,"('路',)",0,0,1,0,0,1,0,0,0,0
一条唐朝的小路，水彩画,"('路',)",0,0,1,0,1,1,0,0,0,0
一条有浪漫氛围的未来的街景,"('街景',)",0,0,1,0,0,1,0,0,0,0
一条造型锐利的军用潜艇,"('潜艇',)",0,0,1,0,0,0,0,0,0,0
一条造型帅气的游艇，浮世绘,"('游艇',)",0,0,1,0,1,0,0,0,0,0
一条长长的河流，河岸两侧有几户中式人家，出自新海诚,"('河流', '河岸', '人家')",0,0,1,1,1,1,0,0,0,0
一条最能体现线条艺术的裤子,"('裤子',)",0,0,1,0,1,0,0,0,0,0
一碗完美的粉丝汤，包豪斯风格,"('粉丝汤',)",0,0,1,0,1,0,0,0,0,0
一碗用料丰富的八宝粥,"('八宝粥',)",0,0,1,0,0,0,0,0,0,0
一望无际的荒漠,"('荒漠',)",0,0,0,0,0,0,0,0,0,0
一望无际的平原，蒸汽朋克,"('平原',)",0,0,0,0,0,1,0,0,0,0
一张表面平滑的咖啡桌，复古未来主义,"('桌',)",0,0,1,0,0,1,0,0,0,0
一张现金品平放在桌子上，顶级刻画,"('现金品', '桌子')",0,0,1,1,1,0,0,0,0,0
一只打扮很精致的护理,"('护理',)",0,0,1,0,0,0,0,0,0,2
一只大象，大象腿上的纹理非常清晰,"('大象', '大象腿', '纹理')",0,0,1,1,0,0,0,0,0,0
一只精致的兔子，蒸汽朋克,"('兔子',)",0,0,1,0,0,1,0,0,0,2
一只可爱又迷人的小刺猬，超现实主义,"('刺猬',)",0,0,1,0,0,1,0,0,0,0
一只朋克风格的乌龟，高精度的,"('乌龟',)",0,0,1,0,0,1,0,0,0,2
一只身上有蓝色花纹的章鱼，浮世绘,"('花纹', '章鱼', '身')",0,1,1,1,1,0,0,0,0,0
一只羽毛十分柔顺的火鸡，二次元风格,"('羽毛', '火鸡')",0,0,1,0,0,1,0,0,0,0
一只在满是灰色云朵的天空中飞翔的老鹰，出自皮克斯,"('云朵', '天空', '老鹰')",1,1,1,1,1,0,0,0,0,0
一座细致的二次元古典城堡,"('城堡',)",0,0,1,0,0,1,0,0,0,0
一座雄伟的荷兰风车，复古未来主义,"('风车',)",0,0,1,0,0,1,0,0,0,0
隐藏在深山中的瀑布，古风画作,"('深山', '瀑布')",0,0,0,1,1,0,0,0,0,0
隐匿在烟雾中的一张黑白相片，写实风格,"('烟雾', '相片')",0,1,1,1,1,0,0,0,0,0
用无数把剑铸成的王座，赛博朋克风格,"('剑', '王座')",0,0,1,0,0,1,0,0,0,0
油画笔刷质感，充满科技感的码头,"('码头',)",0,0,0,0,1,0,0,0,0,0
油画里年轻的国王穿着银白色的盔甲,"('国王', '盔甲', '油画')",0,1,0,1,1,0,0,2,0,0
有细致纹路的蜗牛,"('纹路', '蜗牛')",0,0,0,0,0,0,0,0,0,0
渔夫手上拿着的唯美的章鱼,"('渔夫', '章鱼', '手')",0,0,0,1,0,0,2,2,0,2
月球上史诗般的环形山，油画,"('月球', '山')",0,0,0,1,1,0,0,0,0,2
在海上的现代城市,"('海', '城市')",0,0,0,1,0,1,0,0,0,2
在荒漠中奔跑的袋鼠，水彩画,"('荒漠', '袋鼠')",1,0,0,1,1,0,0,0,0,0
在犁地的水牛，中国画,"('水牛',)",1,0,0,0,1,0,0,0,0,0
在桌子上放着的花,"('桌子', '花')",0,0,0,1,0,0,0,0,0,0
战场里的猫头鹰，油画风格,"('战场', '猫头鹰')",0,0,0,1,1,0,0,0,0,0
战场中巨大的齐柏林飞艇，高分辨率,"('战场', '飞艇')",0,0,0,1,0,0,0,0,0,0
中国风的高空中的飞船,"('高空', '飞船')",0,0,0,1,0,1,0,0,0,0
中国风的黑色的玩具车,"('玩具车',)",0,1,0,0,0,1,0,0,0,0
中国风的卷发,"('卷发',)",0,0,0,0,0,1,0,0,0,0
中国风绚丽的鲸鱼,"('鲸鱼',)",0,0,0,0,0,1,0,0,0,2
中国画，内容是一队自信的装修工人,"('工人', '中国画')",0,0,1,0,1,0,0,2,0,0
中式帆船的木甲板，卡通动画风格,"('帆船', '木甲板')",0,0,0,0,1,1,0,0,0,0
装饰非常绚丽的飞机，中国风,"('飞机',)",0,0,0,0,0,1,0,0,0,0
装饰细致的欧洲古代城堡,"('城堡',)",0,0,0,0,0,1,0,0,0,0
装饰着霓虹灯的一顶帽子，中国画,"('霓虹灯', '帽子')",0,0,1,0,1,0,0,0,0,0
桌子上的碗,"('桌子', '碗')",0,0,0,1,0,0,0,0,0,0
桌子上铺着一张细致的手绘桌布,"('桌子', '桌布')",0,0,1,1,0,0,0,0,0,0
紫红色的日出,"('日出',)",0,1,0,0,0,0,0,0,0,2
紫色的火锅,"('火锅',)",0,1,0,0,0,0,0,0,0,2
坐落在悬崖之上的美丽的城堡,"('悬崖', '城堡')",0,0,0,1,0,0,0,0,0,0
坐着的长着手中拿着一本古朴的相册，油画,"('长着', '相册', '手')",0,0,1,1,1,0,2,0,0,0
做工细致的钢琴，流行于pixiv,"('钢琴',)",0,0,0,0,1,0,0,0,0,0
