prompt,entity,status,color,number,location,paint,culture,hand,face,gender,illogical
a dragon breathing fire,"('dragon', 'fire')",1,0,1,0,0,0,0,0,0,2
a dragon breathing fire on a castle,"('dragon', 'fire', 'castle')",1,0,1,1,0,0,0,0,0,2
a dragon breathing fire onto a knight,"('dragon', 'fire', 'knight')",1,0,1,0,0,0,0,0,0,2
a dragon perched on top of the Great Pyramid,"('dragon', 'Pyramid')",1,0,1,1,0,0,0,0,0,2
a drawing of a bust of homer,"('drawing', 'bust', 'homer')",0,0,1,0,0,0,0,2,0,0
a drawing of a hammer,"('hammer', 'drawing')",0,0,1,0,0,0,0,0,0,0
a drawing of a handsaw,"('handsaw', 'drawing')",0,0,1,0,0,0,0,0,0,0
a drawing of a house on a mountain,"('drawing', 'house', 'mountain')",0,0,1,1,0,0,0,0,0,0
a drawing of a man standing under a tree,"('drawing', 'man', 'tree')",1,0,1,1,0,0,0,2,2,0
a drawing of a peaceful lakeside landscape,"('drawing', 'landscape')",0,0,1,0,0,0,0,0,0,0
a drawing of a pig face with an eye patch,"('drawing', 'pig face', 'eye patch')",0,0,1,0,0,0,0,0,0,0
a drawing of a pint of beer on a brick wall,"('drawing', 'beer', 'wall')",0,0,1,1,0,0,0,0,0,0
a drawing of a power drill,"('drawing', 'power drill')",0,0,1,0,0,0,0,0,0,0
a drawing of a screwdriver,"('screwdriver', 'drawing')",0,0,1,0,0,0,0,0,0,0
a drawing of a series of musical notes wrapped around the Earth,"('drawing', 'musical notes', 'Earth')",0,0,1,1,0,0,0,0,0,0
a drawing of a space shuttle in the style of da Vinci,"('drawing', 'space shuttle')",0,0,1,0,1,0,0,0,0,0
a drawing of a stork playing a violin,"('drawing', 'stork', 'violin')",1,0,1,0,0,0,0,0,0,0
a drawing of the skyline of New York City,"('drawing', 'skyline')",0,0,1,0,0,1,0,0,0,0
a drop-top sports car coming around a bend in the road,"('car', 'bend', 'road')",1,0,1,1,0,0,0,0,0,0
"A DSLR photo of a shiny VW van that has a cityscape painted on it. A smiling sloth stands on grass in front of the van and is wearing a leather jacket, a cowboy hat, a kilt and a bowtie. The sloth is holding a quarterstaff and a big book.","('photo', 'van', 'cityscape', 'grass', 'jacket', 'hat', 'kilt', 'bowtie', 'quarterstaff', 'book', 'sloth')",1,1,1,1,0,0,0,0,0,2
a dump truck filled with soccer balls scuba diving in a coral reef.,"('truck', 'soccer balls', 'coral reef')",1,0,1,1,0,0,0,0,0,2
a dutch baroque painting of a horse in a field of flowers,"('painting', 'horse', 'field', 'flowers')",0,0,1,0,1,1,0,0,0,0
a fairy flying over a girl's shoulder,"('fairy', 'girl', 'shoulder')",1,0,1,1,0,0,0,2,1,2
a fall landscape,"('fall', 'landscape')",0,0,1,0,0,0,0,0,0,0
a fall landscape with a small cottage next to a lake,"('fall landscape', 'cottage', 'lake')",0,0,1,1,0,0,0,0,0,0
a family,"('family',)",0,0,1,0,0,0,0,2,0,0
a family of bears passing by the geyser Old Faithful,"('bears', 'geyser Old Faithful')",1,0,1,0,0,0,0,0,0,0
a family of four posing at Mount Rushmore,"('family', 'Mount Rushmore')",1,0,1,1,0,0,0,2,0,0
a family of four posing at the Grand Canyon,"('family', 'Canyon')",1,0,1,1,0,0,0,2,0,0
a family of four posing in front of a house,"('family', 'house')",1,0,1,1,0,0,0,2,0,0
a family of four posing on the moon,"('family', 'moon')",0,0,1,1,0,0,0,2,0,2
a family of four walking at the beach with waves covering their feet,"('family', 'beach', 'waves', 'feet')",1,0,1,1,0,0,0,2,0,0
a family on a road trip,"('family', 'road')",1,0,1,1,0,0,0,2,0,0
"a farm scene with cows, ducks and a tractor.","('farm', 'cows', 'ducks', 'tractor')",0,0,1,0,0,0,0,0,0,0
a father and a son,"('father', 'son')",0,0,1,0,0,0,0,2,2,0
a father and a son playing tennis,"('father', 'son', 'tennis')",1,0,1,0,0,0,2,2,2,0
a Ferrari Testarossa in front of the Kremlin,"('Kremlin', 'Ferrari Testarossa')",0,0,1,1,0,0,0,0,0,0
a field with ten massive modern windmills,"('field', 'windmills')",0,0,1,1,0,1,0,0,0,0
a fire hydrant,"('fire hydrant',)",0,0,1,0,0,0,0,0,0,0
a fire hydrant with graffiti on it,"('hydrant', 'graffiti')",0,0,1,1,1,0,0,0,0,0
a fish,"('fish',)",0,0,1,0,0,0,0,0,0,0
a fish without eyes,"('fish', 'eyes')",0,0,1,0,0,0,0,0,0,2
a flag,"('flag',)",0,0,1,0,0,0,0,0,0,0
a flag furling in the wind,"('flag', 'wind')",1,0,1,1,0,0,0,0,0,0
a flag with a dinosaur on it,"('dinosaur', 'flag')",0,0,1,1,0,0,0,0,0,0
a flag with a drawing of a dinosaur on it,"('flag', 'drawing', 'dinosaur')",0,0,1,1,0,0,0,0,0,0
a flag with three vertical stripes,"('flag', 'stripes')",0,0,1,0,0,0,0,0,0,0
"a flag with three vertical stripes that are blue, white and red","('stripes', 'flag')",0,1,1,0,0,0,0,0,0,0
a flock of geese in front of The Alamo,"('The Alamo', 'geese')",0,0,1,1,0,0,0,0,0,0
a flower,"('flower',)",0,0,1,0,0,0,0,0,0,0
a flower with a cat's face in the middle,"('flower', ""cat's face"")",0,0,1,1,0,0,0,0,0,2
a flower with large red petals growing on the moon's surface,"('flower', 'petals', 'moon')",1,1,1,1,0,0,0,0,0,2
a flower with large yellow petals,"('flower', 'petals')",0,1,1,0,0,0,0,0,0,0
a flying boat gliding past the Parthenon,"('flying boat', 'Parthenon')",1,0,1,1,0,0,0,0,0,2
a fog,"('fog',)",0,0,1,0,0,0,0,0,0,0
a fog rolling into new york,"('fog', 'new york')",0,0,1,0,0,0,0,0,0,0
a footprint shaped like a peanut,"('footprint', 'peanut')",0,0,1,0,0,0,0,0,0,0
a four-piece band on a stage in front of a small crowd,"('band', 'stage', 'crowd')",0,0,1,1,0,0,0,2,0,0
a fox,"('fox',)",0,0,1,0,0,0,0,0,0,0
a friendly car,"('car',)",0,0,1,0,0,0,0,0,0,0
a friendly car in the city,"('car', 'city')",0,0,1,1,0,0,0,0,0,0
a frustrated child,"('child',)",0,0,1,0,0,0,0,2,0,0
a full bookshelf with three shelves,"('shelves', 'bookshelf')",0,0,1,0,0,0,0,0,0,0
a full moon peeking through clouds at night,"('moon', 'clouds')",1,0,1,1,0,0,0,0,0,0
a full moon rising above a mountain at night,"('moon', 'mountain')",1,0,1,0,0,0,0,0,0,0
a full pint of IPA,"('IPA',)",0,0,1,0,0,0,0,0,0,0
a full pitcher of beer with an elephant's trunk in it,"('beer', 'elephant')",0,0,1,1,0,0,0,0,0,2
A funny Rube Goldberg machine made out of metal,"('Rube Goldberg machine', 'metal')",0,0,1,0,0,0,0,0,0,0
A funny Rube Goldberg machine made out of paper,"('Rube Goldberg machine', 'paper')",0,0,1,0,0,0,0,0,0,0
A funny Rube Goldberg machine made out of wood,"('Rube Goldberg machine', 'wood')",0,0,1,0,0,0,0,0,0,0
a futuristic city,"('city',)",0,0,1,0,0,0,0,0,0,0
a futuristic city in synthwave style,"('city',)",0,0,1,0,1,0,0,0,0,0
A giant cobra snake made from corn,"('cobra snake', 'corn')",0,0,1,0,0,0,0,0,0,0
A giant cobra snake made from pancakes,"('cobra snake', 'pancakes')",0,0,1,0,0,0,0,0,0,0
A giant cobra snake made from salad,"('cobra snake', 'salad')",0,0,1,0,0,0,0,0,0,0
A giant cobra snake made from sushi,"('cobra snake', 'sushi')",0,0,1,0,0,0,0,0,0,0
a giant gorilla at the top of the Empire State Building,"('gorilla', 'Empire State Building')",0,0,1,1,0,0,0,0,0,2
a giraffe,"('giraffe',)",0,0,1,0,0,0,0,0,0,0
a giraffe eating the bark of a tree,"('giraffe', 'bark of a tree')",1,0,1,0,0,0,0,0,0,0
a giraffe imitating a turtle,"('giraffe', 'turtle')",1,0,1,0,0,0,0,0,0,2
a giraffe made of turtle,"('giraffe', 'turtle')",0,0,1,0,0,0,0,0,0,2
A giraffe walking through a green grass covered field,"('giraffe', 'grass', 'field')",1,1,1,1,0,0,0,0,0,0
a giraffe wearing a white bathing suit and carefully stepping to the edge of a diving board and preparing to dive,"('giraffe', 'bathing suit', 'edge', 'diving board')",1,1,1,1,0,0,0,0,0,2
a giraffe with a funny face,"('giraffe', 'face')",0,0,1,0,0,0,0,0,0,0
a giraffe with an owl on its head,"('giraffe', 'owl', 'head')",0,0,1,1,0,0,0,0,0,0
a girl,"('girl',)",0,0,1,0,0,0,0,2,1,0
a girl diving into a pool,"('girl', 'pool')",1,0,1,1,0,0,0,2,1,0
a girl examining an ammonite fossil,"('girl', 'ammonite fossil')",1,0,1,0,0,0,0,2,1,0
a girl getting a kite out of a tree,"('girl', 'kite', 'tree')",1,0,1,1,0,0,2,2,1,0
a girl going to a farm,"('girl', 'farm')",1,0,1,0,0,0,0,2,1,0
a girl riding an ostrich,"('girl', 'ostrich')",1,0,1,1,0,0,0,2,1,0
a girl with curly black hair jumping off a boulder,"('girl', 'hair', 'boulder')",1,1,1,1,0,0,0,2,1,0
a girl with long curly blonde hair and sunglasses,"('girl', 'hair', 'sunglasses')",0,1,1,1,0,0,0,2,1,0
a glass of orange juice,"('orange juice',)",0,0,1,0,0,0,0,0,0,0
a glass of orange juice next to an empty pitcher,"('orange juice', 'pitcher')",0,0,1,1,0,0,0,0,0,0
a glass of orange juice to the right of a plate with buttered toast on it,"('orange juice', 'plate', 'buttered toast')",0,0,1,1,0,0,0,0,0,0
a glass of orange juice with an orange peel stuck on the rim,"('orange juice', 'orange peel')",0,0,1,1,0,0,0,0,0,0
"A glass of red wine tipped over on a couch, with a stain that writes ""OOPS"" on the couch.","('red wine', 'couch', 'stain', 'OOPS')",0,1,1,1,0,0,0,0,0,0
a goat,"('goat',)",0,0,1,0,0,0,0,0,0,0
a goat wearing headphones,"('goat', 'headphones')",1,0,1,1,0,0,0,0,0,2
a golden doorknocker on a red door,"('doorknocker', 'door')",0,1,1,1,0,0,0,0,0,0
A Google map highlighting Vietnam,"('map', 'Vietnam')",0,0,1,0,0,0,0,0,0,0
a gorilla climbing up the side of the Great Pyramid,"('gorilla', 'Pyramid')",1,0,1,1,0,0,0,0,0,0
a grand piano next to the net of a tennis court,"('piano', 'net', 'tennis court')",0,0,1,1,0,0,0,0,0,0
a grand piano with a white bench,"('piano', 'bench')",0,1,1,0,0,0,0,0,0,0
a grandmother reading a book to her grandson and granddaughter,"('grandmother', 'grandson', 'granddaughter', 'book')",1,0,1,0,0,0,0,2,1,0
a great gray owl with a mouse in its beak,"('owl', 'mouse', 'beak')",0,1,1,1,0,0,0,0,0,0
a green clock,"('clock',)",0,1,1,0,0,0,0,0,0,0
a green clock in the shape of a pentagon,"('clock', 'pentagon')",0,1,1,0,0,0,0,0,0,0
A green heart,"('heart',)",0,1,1,0,0,0,0,0,0,2
A green heart with shadow,"('heart', 'shadow')",0,1,1,0,0,0,0,0,0,0
a green pepper,"('pepper',)",0,1,1,0,0,0,0,0,0,0
a green pepper cut in half on a plate,"('pepper', 'plate')",0,1,1,1,0,0,0,0,0,0
a green pepper sliced into many pieces,"('pepper',)",0,1,1,0,0,0,0,0,0,0
a green pepper to the left of a red pepper,"('pepper',)",0,1,1,1,0,0,0,0,0,0
a green pyramid in front of a blue box,"('pyramid', 'box')",0,1,1,1,0,0,0,0,0,0
"A green sign that says ""Very Deep Learning"" and is at the edge of the Grand Canyon.","('sign', 'Canyon', 'Very Deep Learning')",0,1,0,1,0,0,0,0,0,0
A green train is coming down the tracks,"('train', 'tracks')",1,1,1,1,0,0,0,0,0,0
"a group of cats in a meeting. there is a whiteboard with ""stack more layers"" written on it.","('cats', 'meeting', 'whiteboard', 'stack more layers')",0,1,1,1,0,0,0,0,0,2
"A group of farm animals (cows, sheep, and pigs) made out of cheese and ham, on a wooden board. There is a dog in the background eyeing the board hungrily.","('animals', 'cows', 'sheep', 'pigs', 'cheese', 'ham', 'board', 'dog')",1,0,1,1,0,0,0,0,0,0
a group of not more than five meerkats standing with the sun setting behind them,"('sun setting', 'meerkats')",1,0,1,1,0,0,0,0,0,0
a group of penguins in a snowstorm,"('penguins', 'snowstorm')",0,0,1,1,0,0,0,0,0,0
a group of skiers are preparing to walk up a sand dune,"('skiers', 'sand dune')",1,0,1,1,0,0,0,2,0,0
"a grumpy porcupine handing a check for $10,000 to a smiling peacock","('porcupine', 'check', 'peacock')",1,0,1,0,0,0,0,0,0,2
"A gundam stands tall with its sword raised. A city with tall skyscrapers is in the distance, with a mountain and ocean in the background. A dark moon is in the sky. realistic high-contrast anime illustration.","('gundam', 'sword', 'city', 'skyscrapers', 'mountain', 'ocean', 'moon', 'sky')",0,1,1,1,1,0,0,0,0,0
a half empty bottle of red wine,"('wine',)",0,1,1,0,0,0,0,0,0,0
a half moon in the day sky,"('moon', 'sky')",0,0,1,1,0,0,0,0,0,2
a half-full pitcher of stout,"('stout',)",0,0,1,0,0,0,0,0,0,0
a half-peeled banana,"('banana',)",0,0,1,0,0,0,0,0,0,0
a hammer,"('hammer',)",0,0,1,0,0,0,0,0,0,0
a hammer on a table,"('hammer', 'table')",0,0,1,1,0,0,0,0,0,0
a hamster dragon,"('hamster dragon',)",0,0,1,0,0,0,0,0,0,0
a handpalm,"('handpalm',)",0,0,1,0,0,0,0,0,0,0
a handpalm with leaves growing from it,"('handpalm', 'leaves')",1,0,1,1,0,0,0,0,0,2
a handsaw,"('handsaw',)",0,0,1,0,0,0,0,0,0,0
a handsaw on a table,"('handsaw', 'table')",0,0,1,1,0,0,0,0,0,0
a Harley-Davidson motorcycle with a flame decal,"('motorcycle', 'decal')",0,0,1,0,0,0,0,0,0,0
a harp,"('harp',)",0,0,1,0,0,0,0,0,0,0
a harp with a carved eagle figure at the top,"('harp', 'eagle')",0,0,1,1,0,0,0,0,0,0
a harp without any strings,"('harp', 'strings')",0,0,1,0,0,0,0,0,0,0
a hat,"('hat',)",0,0,1,0,0,0,0,0,0,0
A heart made of chocolate,"('heart', 'chocolate')",0,0,1,0,0,0,0,0,0,0
A heart made of cookie,"('heart', 'cookie')",0,0,1,0,0,0,0,0,0,0
A heart made of water,"('heart', 'water')",0,0,1,0,0,0,0,0,0,2
A heart made of wood,"('heart', 'wood')",0,0,1,0,0,0,0,0,0,0
A heavy metal tiger standing on a rooftop while singing and jamming on an electric guitar under a spotlight. anime illustration.,"('tiger', 'rooftop', 'guitar', 'spotlight', 'illustration')",1,0,1,1,1,0,0,0,0,0
a hedgehog,"('hedgehog',)",0,0,1,0,0,0,0,0,0,0
a hedgehog using a calculator,"('hedgehog', 'calculator')",1,0,1,0,0,0,0,0,0,2
A helicopter flies over the Arches National Park.,"('helicopter', 'Arches National Park')",1,0,1,1,0,0,0,0,0,0
A helicopter flies over the Grand Canyon.,"('helicopter', 'Canyon')",1,0,1,1,0,0,0,0,0,0
A helicopter flies over Yosemite.,"('helicopter', 'Yosemite')",1,0,1,1,0,0,0,0,0,0
a helicopter hovering over Times Square,"('helicopter', 'Square')",1,0,1,1,0,0,0,0,0,0
a herd of buffalo stampeding at the Kremlin,"('buffalo', 'Kremlin')",1,0,1,1,0,0,0,0,0,2
"A high contrast portrait photo of a fluffy hamster wearing an orange beanie and sunglasses holding a sign that says ""Let's PAINT!""","('photo', 'hamster', 'beanie', 'sunglasses', 'sign', ""Let's PAINT!"", 'portrait')",1,1,1,1,0,0,0,0,0,2
A high resolution photo of a chicken working out in a gym.,"('photo', 'chicken', 'gym')",1,0,1,1,0,0,0,0,0,2
A high resolution photo of a donkey in a clown costume giving a lecture at the front of a lecture hall. The blackboard has mathematical equations on it. There are many students in the lecture hall.,"('photo', 'donkey', 'costume', 'lecture', 'lecture hall', 'blackboard', 'equations', 'students')",1,0,1,1,0,0,0,0,0,2
A high resolution photo of a large bowl of ramen. There are several origami boats in the ramen of different colors.,"('photo', 'ramen', 'origami boats')",0,2,1,1,0,0,0,0,0,2
A high resolution photo of a rat working out in a gym.,"('photo', 'rat', 'gym')",1,0,1,1,0,0,0,0,0,2
"A high-contrast photo of a panda riding a horse. The panda is wearing a wizard hat and is reading a book. The horse is standing on a street against a gray concrete wall. Colorful flowers and the word ""PEACE"" are painted on the wall. Green grass grows from cracks in the street.","('photo', 'panda', 'horse', 'hat', 'book', 'street', 'wall', 'flowers', 'PEACE', 'grass', 'cracks')",1,2,1,1,0,0,0,0,0,2
a high-quality oil painting of a psychedelic hamster dragon,"('painting', 'hamster dragon')",0,2,1,0,1,0,0,0,0,0
a high-quality photograph of an armadillo playing a bagpipe while standing on one leg,"('photograph', 'armadillo', 'bagpipe', 'leg')",1,0,1,0,0,0,0,0,0,2
a horned owl with a graduation cap and diploma,"('horned owl', 'graduation cap', 'diploma')",0,0,1,1,0,0,0,0,0,2
a horse,"('horse',)",0,0,1,0,0,0,0,0,0,0
a horse chasing a cat,"('horse', 'cat')",1,0,1,0,0,0,0,0,0,0
a horse chewing a large blue flower,"('horse', 'flower')",1,1,1,0,0,0,0,0,0,0
a horse corral with tigers standing in each stall,"('horse corral', 'tigers', 'stall')",1,0,1,1,0,0,0,0,0,2
a horse in a field,"('field', 'horse')",0,0,1,1,0,0,0,0,0,0
a horse in a field in Minecraft style,"('horse', 'field')",0,0,1,1,1,0,0,0,0,0
a horse in a field of flowers,"('horse', 'field', 'flowers')",0,0,1,1,0,0,0,0,0,0
a horse in a forest,"('horse', 'forest')",0,0,1,1,0,0,0,0,0,0
a horse reading a book,"('horse', 'book')",1,0,1,0,0,0,0,0,0,2
a horse reading a comic book,"('horse', 'book')",1,0,1,0,0,0,0,0,0,2
a horse reading a newspaper,"('horse', 'newspaper')",1,0,1,0,0,0,0,0,0,2
a horse running in a field,"('horse', 'field')",1,0,1,1,0,0,0,0,0,0
A horse sitting on an astronaut's shoulders.,"('horse', 'shoulders', 'astronaut')",1,0,1,1,0,0,0,0,0,2
a horse standing on an elephant,"('horse', 'elephant')",1,0,1,1,0,0,0,0,0,2
a horse without a rider,"('horse', 'rider')",0,0,1,0,0,0,0,0,0,0
a hot air balloon,"('hot air balloon',)",0,0,1,0,0,0,0,0,0,0
a hot air balloon floating by the Kremlin,"('hot air balloon', 'Kremlin')",1,0,1,1,0,0,0,0,0,0
a hot air balloon landing in a corn field,"('hot air balloon', 'field')",1,0,1,1,0,0,0,0,0,0
"a hot air balloon with a yin-yang symbol, with the moon visible in the daytime sky","('hot air balloon', 'yin-yang symbol', 'moon', 'sky')",0,0,1,1,0,0,0,0,0,2
a hot air balloon with chameleon logo. the sun is shining and puffy white clouds are in the background.,"('hot air balloon', 'chameleon logo', 'sun', 'clouds', 'background')",1,1,1,1,0,0,0,0,0,0
a house,"('house',)",0,0,1,0,0,0,0,0,0,0
a house on a mountain,"('house', 'mountain')",0,0,1,1,0,0,0,0,0,0
a house with no windows,"('house', 'windows')",0,0,1,0,0,0,0,0,0,0
a impressionistic painting of a scholarly badger reading the Rosetta Stone,"('painting', 'badger', 'Rosetta Stone')",1,0,1,0,1,0,0,0,0,0
a judge delivering a sentence to the defendant,"('judge', 'sentence', 'defendant')",1,0,1,0,0,0,0,2,0,0
a jungle gym with three kids on it,"('jungle gym', 'kids')",0,0,1,1,0,0,0,2,0,0
a kachina doll,"('doll',)",0,0,1,0,0,0,0,0,0,0
a kachina doll standing in sand,"('doll', 'sand')",1,0,1,1,0,0,0,2,0,0
a kachina doll with feathers on its head and wearing a white dress and brown boots.,"('doll', 'feathers', 'head', 'dress', 'boots')",1,1,1,1,0,0,0,2,0,0
a kangaroo,"('kangaroo',)",0,0,1,0,0,0,0,0,0,0
a kangaroo hopping in the air between two identical large statues of warrior rabbits,"('kangaroo', 'air', 'statues', 'rabbits')",1,0,1,1,0,0,0,0,0,0
a kangaroo jumping through the park,"('kangaroo', 'park')",1,0,1,1,0,0,0,0,0,0
a key,"('key',)",0,0,1,0,0,0,0,0,0,0
a kids' book cover with an illustration of white dog driving a red pickup truck,"('cover', 'illustration', 'dog', 'truck')",1,1,1,0,0,0,0,0,0,0
a kitchen,"('kitchen',)",0,0,1,0,0,0,0,0,0,0
a kitchen with a large refrigerator,"('kitchen', 'refrigerator')",0,0,1,0,0,0,0,0,0,0
a kitchen without a refrigerator,"('kitchen', 'refrigerator')",0,0,1,0,0,0,0,0,0,0
a knight holding a long sword,"('knight', 'sword')",0,0,1,1,0,0,2,2,0,0
a koi fish,"('fish',)",0,0,1,0,0,0,0,0,0,0
a koi fish flying in the sky,"('fish', 'sky')",1,0,1,1,0,0,0,0,0,2
a ladder,"('ladder',)",0,0,1,0,0,0,0,0,0,0
a laptop,"('laptop',)",0,0,1,0,0,0,0,0,0,0
a laptop no letters on its keyboard,"('laptop', 'letters', 'keyboard')",0,0,1,1,0,0,0,0,0,2
a laptop screen,"('screen',)",0,0,1,0,0,0,0,0,0,0
a laptop screen showing a bunch of photographs,"('screen', 'photographs')",1,0,1,1,0,0,0,0,0,0
a laptop screen showing a document being edited,"('screen', 'document')",1,0,1,1,0,0,0,0,0,0
a laptop screen showing an internet search,"('screen', 'search')",1,0,1,1,0,0,0,0,0,0
a laptop with a maze sticker on it,"('laptop', 'sticker')",0,0,1,1,0,0,0,0,0,0
a large blue box,"('box',)",0,1,1,0,0,0,0,0,0,0
a large blue box with three small yellow boxes on it,"('box',)",0,1,1,1,0,0,0,0,0,0
A large city fountain that has milk instead of water. Several cats are leaning into the fountain.,"('fountain', 'milk', 'cats')",1,0,1,1,0,0,0,0,0,0
a large open book,"('book',)",0,0,1,0,0,0,0,0,0,0
a large open book showing text and an illustration of a cat,"('book', 'text', 'illustration', 'cat')",1,0,1,0,0,0,0,0,0,0
a large present with a red ribbon,"('present', 'ribbon')",0,1,1,0,0,0,0,0,0,0
a large present with a red ribbon to the left of a Christmas tree,"('present', 'ribbon', 'Christmas tree')",0,1,1,1,0,0,0,0,0,0
a large stone pedestal without a statue of a horse on it,"('pedestal', 'statue', 'horse')",0,0,1,1,0,0,0,0,0,0
a large white yacht,"('yacht',)",0,1,1,0,0,0,0,0,0,0
a large white yacht in a calm bay on a sunny day,"('yacht', 'bay')",0,1,1,1,0,0,0,0,0,0
a large white yacht tossed about in a stormy sea,"('yacht', 'stormy sea')",1,1,1,1,0,0,0,0,0,0
a large yellow sphere behind a small purple pyramid,"('sphere', 'pyramid')",0,1,1,1,0,0,0,0,0,0
a large yellow triangle above a green square and red rectangle,"('triangle', 'square', 'rectangle')",0,1,1,1,0,0,0,0,0,0
a laughing woman,"('woman',)",0,0,1,0,0,0,0,2,1,0
a lavender backpack with a triceratops stuffed animal head on top,"('backpack', 'triceratops stuffed animal head')",0,1,1,1,0,0,0,0,0,0
a library filled with kids reading books,"('library', 'kids', 'books')",1,0,1,0,0,0,0,2,0,0
a light shining on a giraffe in a street,"('light', 'giraffe', 'street')",1,0,1,1,0,0,0,0,0,0
A living area with a television and a table,"('living area', 'television', 'table')",0,0,1,0,0,0,0,0,0,0
a living room,"('room',)",0,0,1,0,0,0,0,0,0,0
a living room with a large Egyptian statue in the corner,"('living room', 'statue', 'corner')",0,0,1,1,0,1,0,2,0,0
a lizard,"('lizard',)",0,0,1,0,0,0,0,0,0,0
a lizard that just lost its tail,"('lizard', 'tail')",0,0,1,0,0,0,0,0,0,0
a logo,"('logo',)",0,0,1,0,0,0,0,0,0,0
a logo of a wombat on a coffee mug,"('logo', 'wombat', 'mug')",0,0,1,1,0,0,0,0,0,0
a long chemtrail trailing an airplane in a blue sky,"('chemtrail', 'airplane', 'sky')",1,1,1,1,0,0,0,0,0,2
a long wooden bench in front of a brick wall,"('bench', 'wall')",0,0,1,1,0,0,0,0,0,0
a long-island ice tea cocktail,"('cocktail',)",0,0,1,0,0,0,0,0,0,0
a long-island ice tea cocktail next to a napkin,"('cocktail', 'napkin')",0,0,1,1,0,0,0,0,0,0
a lovestruck cup of boba,"('boba',)",0,0,1,0,0,0,0,0,0,0
a macro photograph of brain coral,"('photograph', 'brain coral')",0,0,1,0,0,0,0,0,0,0
a man,"('man',)",0,0,1,0,0,0,0,2,2,0
a man and a woman standing in the back up an old pickup truck,"('man', 'woman', 'truck')",1,0,1,1,0,0,0,2,1,0
a man banging on a door,"('door', 'man')",1,0,1,0,0,0,2,2,2,0
a man chasing a cat,"('man', 'cat')",1,0,1,0,0,0,0,2,2,0
a man chasing a horse,"('man', 'horse')",1,0,1,0,0,0,0,2,2,0
a man eating a glazed donut and a woman eating a chocolate cake,"('man', 'donut', 'woman', 'cake')",1,0,1,0,0,0,2,2,1,0
A man gives a woman a laptop and a boy a book.,"('man', 'woman', 'laptop', 'boy', 'book')",1,0,1,0,0,0,2,2,1,0
a man heading a soccer ball,"('man', 'soccer ball')",1,0,1,0,0,0,0,2,2,0
a man in a business suit on a ladder that is leaning up against the side of a white house,"('man', 'business suit', 'ladder', 'house')",1,1,1,1,0,0,0,2,2,0
a man looking at a distant mountain,"('man', 'mountain')",1,0,1,0,0,0,0,2,2,0
a man reading a book with a prism on its cover,"('man', 'book', 'prism')",1,0,1,1,0,0,0,2,2,0
a man riding a camel on the beach,"('man', 'camel', 'beach')",1,0,1,1,0,0,0,2,2,0
a man riding a cat,"('man', 'cat')",1,0,1,1,0,0,0,2,2,2
a man riding a horse,"('man', 'horse')",1,0,1,0,0,0,0,2,2,0
A man sips a latte and a woman a beer.,"('man', 'latte', 'woman', 'beer')",1,0,1,0,0,0,2,2,1,0
a man sleeping in a hammock,"('man', 'hammock')",1,0,1,1,0,0,0,2,2,0
a man standing on a street corner,"('man', 'street corner')",1,0,1,1,0,0,0,2,2,0
a man standing under a tree,"('tree', 'man')",1,0,1,1,0,0,0,2,2,0
a man wearing sunglasses and business suit,"('man', 'sunglasses', 'business suit')",0,0,1,1,0,0,0,2,2,0
"a man with long blonde hair, brown eyes and blue jeans","('man', 'hair', 'eyes', 'jeans')",0,1,1,0,0,0,0,2,2,0
a man with puppet,"('man', 'puppet')",0,0,1,0,0,0,0,2,2,0
a man with puppet that looks like a king,"('man', 'puppet', 'king')",0,0,1,0,0,0,0,2,2,0
a man with wild hair looking into a crystal ball,"('man', 'hair', 'crystal ball')",1,0,1,0,0,0,0,2,2,0
a map of Australia,"('map',)",0,0,1,0,0,1,0,0,0,0
a map of Italy,"('map',)",0,0,1,0,0,1,0,0,0,0
a map of Manhattan,"('map',)",0,0,1,0,0,1,0,0,0,0
a map of South America,"('map',)",0,0,1,0,0,1,0,0,0,0
a map of Texas,"('map',)",0,0,1,0,0,1,0,0,0,0
A map of the United States made out of sushi on the table.,"('map', 'sushi', 'table')",0,0,1,1,0,1,0,0,0,0
A map of the United States made out sushi. It is on a table next to a glass of red wine.,"('map', 'sushi', 'table', 'wine')",0,1,1,1,0,1,0,0,0,0
A map of the United States with a pin on San Francisco,"('map', 'pin', 'San Francisco')",0,0,1,1,0,1,0,0,0,0
a map showing the Great Wall,"('map', 'Great Wall')",1,0,1,0,0,0,0,0,0,0
a margarita,"('margarita',)",0,0,1,0,0,0,0,0,0,0
a margarita next to a napkin,"('margarita', 'napkin')",0,0,1,1,0,0,0,0,0,0
a marina,"('marina',)",0,0,1,0,0,0,0,0,0,0
a marina with a herd of dolphins playing in it,"('marina', 'dolphins')",1,0,1,1,0,0,0,0,0,0
a marina without any boats in it,"('marina', 'boats')",0,0,1,1,0,0,0,0,0,0
a marine iguana crossing the street,"('marine iguana', 'street')",1,0,1,0,0,0,0,0,0,0
a massive modern windmill,"('windmill',)",0,0,1,0,0,1,0,0,0,0
a massive robot with a coffee cup head. it is standing in the street with one foot smashing a car.,"('robot', 'cup', 'head', 'street ', 'foot', 'car')",1,0,1,1,0,0,0,0,0,2
a massive statue in a temple,"('statue', 'temple')",0,0,1,1,0,0,0,0,0,0
a massive statue of Hanuman,"('statue', 'Hanuman')",0,0,1,0,0,0,0,2,0,0
